game_number	agent_type	agent_color	agent_depth	agent_num_moves	agent_decision_time	game_result
0	alphabeta1	white	1	12	0.11873700000000001	-1
0	alphabeta3	black	3	12	56.822971	1
1	alphabeta1	white	1	44	0.37644099999999986	-1
1	alphabeta3	black	3	44	116.31206599999999	1
2	alphabeta1	white	1	56	0.3195369999999999	-1
2	alphabeta3	black	3	56	65.76091900000002	1
3	alphabeta1	white	1	60	0.40301700000000007	-1
3	alphabeta3	black	3	60	95.84796999999998	1
4	alphabeta1	white	1	33	0.20948999999999998	-1
4	alphabeta3	black	3	33	58.741158000000006	1
5	alphabeta1	white	1	38	0.2585590000000001	0
5	alphabeta3	black	3	38	117.80295000000004	0
6	alphabeta1	white	1	15	0.115328	-1
6	alphabeta3	black	3	15	37.690593	1
7	alphabeta1	white	1	44	0.23628500000000002	-1
7	alphabeta3	black	3	44	69.999029	1
8	alphabeta1	white	1	15	0.108823	-1
8	alphabeta3	black	3	15	57.934455	1
9	alphabeta1	white	1	14	0.045187000000000005	0
9	alphabeta3	black	3	14	40.735043	0
10	alphabeta1	white	1	31	0.22769099999999998	-1
10	alphabeta3	black	3	31	98.936019	1
11	alphabeta1	white	1	10	0.082912	-1
11	alphabeta3	black	3	10	42.728071	1
12	alphabeta1	white	1	8	0.07373400000000001	-1
12	alphabeta3	black	3	8	33.905978999999995	1
13	alphabeta1	white	1	30	0.3225239999999999	-1
13	alphabeta3	black	3	30	123.28877599999997	1
14	alphabeta1	white	1	8	0.06451	-1
14	alphabeta3	black	3	8	30.287607	1
15	alphabeta1	white	1	43	0.30391899999999994	1
15	alphabeta3	black	3	43	34.67054600000002	-1
16	alphabeta1	white	1	46	0.2509890000000001	-1
16	alphabeta3	black	3	46	100.18539899999998	1
17	alphabeta1	white	1	30	0.24145500000000003	1
17	alphabeta3	black	3	30	50.41905199999999	-1
18	alphabeta1	white	1	19	0.13842999999999997	-1
18	alphabeta3	black	3	19	54.312858000000006	1
19	alphabeta1	white	1	12	0.11211000000000002	-1
19	alphabeta3	black	3	12	47.65240300000001	1
20	alphabeta1	white	1	36	0.27194499999999994	-1
20	alphabeta3	black	3	36	86.831142	1
21	alphabeta1	white	1	38	0.24182099999999995	-1
21	alphabeta3	black	3	38	77.15327599999999	1
22	alphabeta1	white	1	37	0.2532920000000001	-1
22	alphabeta3	black	3	37	66.27897100000001	1
23	alphabeta1	white	1	30	0.17782699999999999	-1
23	alphabeta3	black	3	30	91.53508	1
24	alphabeta1	white	1	25	0.18960700000000003	-1
24	alphabeta3	black	3	25	46.268212000000005	1
25	alphabeta1	white	1	23	0.17674499999999996	-1
25	alphabeta3	black	3	23	76.50992599999998	1
26	alphabeta1	white	1	24	0.21346899999999996	-1
26	alphabeta3	black	3	24	123.72421699999998	1
27	alphabeta1	white	1	17	0.080108	0
27	alphabeta3	black	3	17	39.572679	0
28	alphabeta1	white	1	36	0.23058399999999998	-1
28	alphabeta3	black	3	36	103.69694899999998	1
29	alphabeta1	white	1	29	0.17152900000000004	0
29	alphabeta3	black	3	29	50.80518300000001	0
30	alphabeta1	white	1	35	0.25159899999999996	0
30	alphabeta3	black	3	35	54.117193	0
31	alphabeta1	white	1	35	0.20541199999999998	0
31	alphabeta3	black	3	35	54.69024699999999	0
32	alphabeta1	white	1	6	0.048501	-1
32	alphabeta3	black	3	6	20.652409000000002	1
33	alphabeta1	white	1	17	0.16093500000000002	-1
33	alphabeta3	black	3	17	41.56031400000001	1
34	alphabeta1	white	1	60	0.2856479999999999	-1
34	alphabeta3	black	3	60	64.958272	1
35	alphabeta1	white	1	45	0.23624900000000001	-1
35	alphabeta3	black	3	45	93.88146000000002	1
36	alphabeta1	white	1	14	0.135238	-1
36	alphabeta3	black	3	14	80.03515	1
37	alphabeta1	white	1	22	0.16048500000000002	-1
37	alphabeta3	black	3	22	74.333025	1
38	alphabeta1	white	1	19	0.157934	-1
38	alphabeta3	black	3	19	76.27930400000001	1
39	alphabeta1	white	1	14	0.12414999999999998	-1
39	alphabeta3	black	3	14	48.72379499999999	1
40	alphabeta1	white	1	15	0.12599700000000003	0
40	alphabeta3	black	3	15	66.769936	0
41	alphabeta1	white	1	18	0.11532700000000003	-1
41	alphabeta3	black	3	18	80.89236300000002	1
42	alphabeta1	white	1	23	0.16823699999999997	-1
42	alphabeta3	black	3	23	58.923918	1
43	alphabeta1	white	1	6	0.048544	-1
43	alphabeta3	black	3	6	26.489017	1
44	alphabeta1	white	1	9	0.075133	-1
44	alphabeta3	black	3	9	38.469283999999995	1
45	alphabeta1	white	1	49	0.24850699999999995	-1
45	alphabeta3	black	3	49	77.488348	1
46	alphabeta1	white	1	26	0.25644100000000003	-1
46	alphabeta3	black	3	26	110.03592199999997	1
47	alphabeta1	white	1	7	0.074435	-1
47	alphabeta3	black	3	7	32.607607	1
48	alphabeta1	white	1	23	0.17789500000000003	-1
48	alphabeta3	black	3	23	66.842787	1
49	alphabeta1	white	1	58	0.302068	0
49	alphabeta3	black	3	58	62.98338800000001	0
50	alphabeta1	white	1	21	0.191132	-1
50	alphabeta3	black	3	21	47.92504400000001	1
51	alphabeta1	white	1	18	0.18514399999999998	-1
51	alphabeta3	black	3	18	91.37854399999999	1
52	alphabeta1	white	1	14	0.096219	-1
52	alphabeta3	black	3	14	49.854355999999996	1
53	alphabeta1	white	1	21	0.12305599999999997	-1
53	alphabeta3	black	3	21	65.475513	1
54	alphabeta1	white	1	13	0.06435700000000001	-1
54	alphabeta3	black	3	13	58.933417	1
55	alphabeta1	white	1	13	0.118237	-1
55	alphabeta3	black	3	13	39.824	1
56	alphabeta1	white	1	30	0.148764	0
56	alphabeta3	black	3	30	60.886172000000016	0
57	alphabeta1	white	1	14	0.11960699999999999	-1
57	alphabeta3	black	3	14	70.388273	1
58	alphabeta1	white	1	51	0.3352909999999999	-1
58	alphabeta3	black	3	51	134.20041500000005	1
59	alphabeta1	white	1	31	0.26541900000000007	-1
59	alphabeta3	black	3	31	63.637999	1
60	alphabeta1	white	1	33	0.229287	-1
60	alphabeta3	black	3	33	107.568805	1
61	alphabeta1	white	1	30	0.27037299999999986	-1
61	alphabeta3	black	3	30	120.53398100000003	1
62	alphabeta1	white	1	26	0.16942200000000002	-1
62	alphabeta3	black	3	26	92.08523500000001	1
63	alphabeta1	white	1	34	0.283275	-1
63	alphabeta3	black	3	34	85.694014	1
64	alphabeta1	white	1	37	0.2320109999999999	-1
64	alphabeta3	black	3	37	70.77777999999999	1
65	alphabeta1	white	1	7	0.052518999999999996	1
65	alphabeta3	black	3	7	12.383344	-1
66	alphabeta1	white	1	23	0.20447300000000002	-1
66	alphabeta3	black	3	23	126.24203800000001	1
67	alphabeta1	white	1	17	0.13212	-1
67	alphabeta3	black	3	17	75.391104	1
68	alphabeta1	white	1	19	0.14961200000000002	-1
68	alphabeta3	black	3	19	51.41808000000001	1
69	alphabeta1	white	1	36	0.23191399999999995	-1
69	alphabeta3	black	3	36	98.95818700000001	1
70	alphabeta1	white	1	46	0.32774499999999995	-1
70	alphabeta3	black	3	46	180.43801	1
71	alphabeta1	white	1	32	0.284234	-1
71	alphabeta3	black	3	32	120.08305200000001	1
72	alphabeta1	white	1	10	0.095501	-1
72	alphabeta3	black	3	10	46.505005000000004	1
73	alphabeta1	white	1	25	0.16063899999999995	-1
73	alphabeta3	black	3	25	68.098755	1
74	alphabeta1	white	1	35	0.206992	0
74	alphabeta3	black	3	35	78.545855	0
75	alphabeta1	white	1	27	0.24924900000000003	-1
75	alphabeta3	black	3	27	109.65758400000001	1
76	alphabeta1	white	1	25	0.24041099999999999	-1
76	alphabeta3	black	3	25	103.42122800000001	1
77	alphabeta1	white	1	15	0.15084799999999998	-1
77	alphabeta3	black	3	15	68.05772700000001	1
78	alphabeta1	white	1	14	0.10214000000000001	-1
78	alphabeta3	black	3	14	53.649731	1
79	alphabeta1	white	1	26	0.23002399999999995	-1
79	alphabeta3	black	3	26	127.047576	1
80	alphabeta1	white	1	40	0.20597199999999996	0
80	alphabeta3	black	3	40	93.431822	0
81	alphabeta1	white	1	31	0.25426299999999996	1
81	alphabeta3	black	3	31	82.612718	-1
82	alphabeta1	white	1	33	0.19589299999999998	0
82	alphabeta3	black	3	33	80.284698	0
83	alphabeta1	white	1	10	0.08495800000000002	-1
83	alphabeta3	black	3	10	47.03791	1
84	alphabeta1	white	1	36	0.240331	-1
84	alphabeta3	black	3	36	67.82671300000003	1
85	alphabeta1	white	1	20	0.19251200000000002	-1
85	alphabeta3	black	3	20	66.68030600000002	1
86	alphabeta1	white	1	9	0.05081600000000001	-1
86	alphabeta3	black	3	9	44.065785	1
87	alphabeta1	white	1	38	0.3234020000000001	0
87	alphabeta3	black	3	38	33.703133	0
88	alphabeta1	white	1	37	0.22229600000000002	0
88	alphabeta3	black	3	37	41.904375	0
89	alphabeta1	white	1	23	0.155136	-1
89	alphabeta3	black	3	23	93.79563200000001	1
90	alphabeta1	white	1	38	0.2554430000000001	0
90	alphabeta3	black	3	38	111.52456999999998	0
91	alphabeta1	white	1	35	0.18147799999999997	0
91	alphabeta3	black	3	35	30.699790999999994	0
92	alphabeta1	white	1	32	0.20415399999999997	-1
92	alphabeta3	black	3	32	87.10177600000002	1
93	alphabeta1	white	1	34	0.20704	0
93	alphabeta3	black	3	34	76.96355200000002	0
94	alphabeta1	white	1	33	0.23724800000000004	-1
94	alphabeta3	black	3	33	62.61713399999999	1
95	alphabeta1	white	1	45	0.27814	-1
95	alphabeta3	black	3	45	58.793235999999986	1
96	alphabeta1	white	1	24	0.15050300000000003	-1
96	alphabeta3	black	3	24	42.261402	1
97	alphabeta1	white	1	18	0.15575899999999995	-1
97	alphabeta3	black	3	18	54.347735	1
98	alphabeta1	white	1	60	0.278947	-1
98	alphabeta3	black	3	60	101.72339200000002	1
99	alphabeta1	white	1	10	0.090917	-1
99	alphabeta3	black	3	10	32.391020000000005	1
