game_number	agent_type	agent_color	agent_depth	agent_num_moves	agent_decision_time	game_result
0	alphabeta2	white	2	29	24.223101	1
0	alphabeta2_trans	black	2	29	21.922469	-1
1	alphabeta2	white	2	36	23.561878	1
1	alphabeta2_trans	black	2	36	19.758479	-1
2	alphabeta2	white	2	40	23.962578	1
2	alphabeta2_trans	black	2	40	2.654118	-1
3	alphabeta2	white	2	113	39.937733	-1
3	alphabeta2_trans	black	2	113	31.972951	1
4	alphabeta2	white	2	41	34.363037	1
4	alphabeta2_trans	black	2	41	22.491291	-1
5	alphabeta2	white	2	32	14.771666	0
5	alphabeta2_trans	black	2	32	9.638869	0
6	alphabeta2	white	2	24	20.452021	-1
6	alphabeta2_trans	black	2	24	18.15522	1
7	alphabeta2	white	2	59	33.747279	-1
7	alphabeta2_trans	black	2	59	22.293294	1
8	alphabeta2	white	2	21	16.292017	-1
8	alphabeta2_trans	black	2	21	17.522166	1
9	alphabeta2	white	2	29	21.227714	1
9	alphabeta2_trans	black	2	29	6.142362	-1
10	alphabeta2	white	2	17	14.062033	1
10	alphabeta2_trans	black	2	17	11.918911	-1
11	alphabeta2	white	2	36	29.390774	1
11	alphabeta2_trans	black	2	36	22.442058	-1
12	alphabeta2	white	2	41	27.57601	1
12	alphabeta2_trans	black	2	41	11.039473	-1
13	alphabeta2	white	2	50	27.523713	1
13	alphabeta2_trans	black	2	50	29.309608	-1
14	alphabeta2	white	2	29	21.647981	1
14	alphabeta2_trans	black	2	29	6.269895	-1
15	alphabeta2	white	2	23	12.532601	-1
15	alphabeta2_trans	black	2	23	9.195427	1
16	alphabeta2	white	2	35	26.423809	-1
16	alphabeta2_trans	black	2	35	9.429664	1
17	alphabeta2	white	2	43	23.243022	-1
17	alphabeta2_trans	black	2	43	14.21001	1
18	alphabeta2	white	2	37	24.889068	0
18	alphabeta2_trans	black	2	37	5.298787	0
19	alphabeta2	white	2	24	20.53213	-1
19	alphabeta2_trans	black	2	24	0.290119	1
20	alphabeta2	white	2	31	35.019306	1
20	alphabeta2_trans	black	2	31	13.549765	-1
21	alphabeta2	white	2	51	24.495323	0
21	alphabeta2_trans	black	2	51	11.052223	0
22	alphabeta2	white	2	38	35.195979	-1
22	alphabeta2_trans	black	2	38	36.726642	1
23	alphabeta2	white	2	30	22.150135	1
23	alphabeta2_trans	black	2	30	2.935287	-1
24	alphabeta2	white	2	60	26.709481	0
24	alphabeta2_trans	black	2	60	15.29486	0
25	alphabeta2	white	2	49	27.57734	1
25	alphabeta2_trans	black	2	49	3.502188	-1
26	alphabeta2	white	2	24	20.626901	-1
26	alphabeta2_trans	black	2	24	0.406982	1
27	alphabeta2	white	2	51	28.929339	1
27	alphabeta2_trans	black	2	51	19.866133	-1
28	alphabeta2	white	2	70	31.373321	0
28	alphabeta2_trans	black	2	70	2.85148	0
29	alphabeta2	white	2	29	21.595078	1
29	alphabeta2_trans	black	2	29	0.873761	-1
30	alphabeta2	white	2	68	32.879527	0
30	alphabeta2_trans	black	2	68	18.956873	0
31	alphabeta2	white	2	69	21.046278	0
31	alphabeta2_trans	black	2	69	14.32269	0
32	alphabeta2	white	2	133	31.896312	0
32	alphabeta2_trans	black	2	133	2.899213	0
33	alphabeta2	white	2	27	21.193242	1
33	alphabeta2_trans	black	2	27	4.707505	-1
34	alphabeta2	white	2	190	48.604535	0
34	alphabeta2_trans	black	2	190	20.730527	0
35	alphabeta2	white	2	35	19.263078	-1
35	alphabeta2_trans	black	2	35	4.362287	1
36	alphabeta2	white	2	17	13.07859	1
36	alphabeta2_trans	black	2	17	0.046647	-1
37	alphabeta2	white	2	39	19.331993	1
37	alphabeta2_trans	black	2	39	9.035863	-1
38	alphabeta2	white	2	38	29.701711	1
38	alphabeta2_trans	black	2	38	14.16796	-1
39	alphabeta2	white	2	24	20.648875	-1
39	alphabeta2_trans	black	2	24	0.188082	1
40	alphabeta2	white	2	30	21.923462	1
40	alphabeta2_trans	black	2	30	0.390516	-1
41	alphabeta2	white	2	38	24.936387	1
41	alphabeta2_trans	black	2	38	4.538126	-1
42	alphabeta2	white	2	17	13.419602	1
42	alphabeta2_trans	black	2	17	0.047117	-1
43	alphabeta2	white	2	58	25.14843	0
43	alphabeta2_trans	black	2	58	12.652146	0
44	alphabeta2	white	2	76	34.121681	-1
44	alphabeta2_trans	black	2	76	17.959468	1
45	alphabeta2	white	2	39	20.843065	1
