game_number	agent_type	agent_color	agent_depth	agent_num_moves	agent_decision_time	game_result
0	alphabeta2	white	2	122	33.622113999999996	0
0	alphabeta2_trans	black	2	122	24.859565000000007	0
1	alphabeta2	white	2	63	43.244788000000014	1
1	alphabeta2_trans	black	2	63	28.542962000000003	-1
2	alphabeta2	white	2	63	21.538724000000013	0
2	alphabeta2_trans	black	2	63	19.326357	0
3	alphabeta2	white	2	26	15.566781999999998	-1
3	alphabeta2_trans	black	2	26	6.963861000000002	1
4	alphabeta2	white	2	17	13.435461	1
4	alphabeta2_trans	black	2	17	11.470675	-1
5	alphabeta2	white	2	32	20.896879	0
5	alphabeta2_trans	black	2	32	3.8465809999999996	0
6	alphabeta2	white	2	83	30.528501999999996	0
6	alphabeta2_trans	black	2	83	23.591816000000005	0
7	alphabeta2	white	2	25	13.354213999999999	-1
7	alphabeta2_trans	black	2	25	13.555836000000001	1
8	alphabeta2	white	2	190	45.414873999999934	1
8	alphabeta2_trans	black	2	190	37.51703799999997	-1
9	alphabeta2	white	2	71	28.97223300000001	0
9	alphabeta2_trans	black	2	71	15.928327000000001	0
10	alphabeta2	white	2	40	27.251151	-1
10	alphabeta2_trans	black	2	40	27.218223	1
11	alphabeta2	white	2	69	27.941744999999997	-1
11	alphabeta2_trans	black	2	69	17.260167000000003	1
12	alphabeta2	white	2	28	25.629443999999996	1
12	alphabeta2_trans	black	2	28	14.750449000000001	-1
13	alphabeta2	white	2	58	37.914848	1
13	alphabeta2_trans	black	2	58	10.724804000000002	-1
14	alphabeta2	white	2	28	19.542551	-1
14	alphabeta2_trans	black	2	28	15.217625999999996	1
15	alphabeta2	white	2	40	25.449710000000003	1
15	alphabeta2_trans	black	2	40	12.915845000000001	-1
16	alphabeta2	white	2	37	22.342262000000012	1
16	alphabeta2_trans	black	2	37	5.0224020000000005	-1
17	alphabeta2	white	2	41	36.404567	-1
17	alphabeta2_trans	black	2	41	38.694026	1
18	alphabeta2	white	2	33	32.040563000000006	0
18	alphabeta2_trans	black	2	33	14.700325999999999	0
19	alphabeta2	white	2	54	37.81086100000002	1
19	alphabeta2_trans	black	2	54	11.712514	-1
20	alphabeta2	white	2	49	28.403001000000007	1
20	alphabeta2_trans	black	2	49	8.980331000000001	-1
21	alphabeta2	white	2	21	20.920162000000005	-1
21	alphabeta2_trans	black	2	21	16.465531	1
22	alphabeta2	white	2	147	35.85354100000001	0
22	alphabeta2_trans	black	2	147	7.586557	0
