game_number	agent_type	agent_color	agent_depth	agent_num_moves	agent_decision_time	game_result
0	alphabeta	white	2	34	15.431216000000003	1
0	alphabeta	black	2	34	9.192535999999997	-1
1	alphabeta	white	2	49	26.102635000000006	1
1	alphabeta	black	2	49	26.59137499999999	-1
2	alphabeta	white	2	80	69.44229000000001	1
2	alphabeta	black	2	80	65.78422499999999	-1
3	alphabeta	white	2	33	22.104168	1
3	alphabeta	black	2	33	14.934088	-1
4	alphabeta	white	2	40	27.264054999999992	-1
4	alphabeta	black	2	40	29.721648999999996	1
5	alphabeta	white	2	26	16.078580999999996	-1
5	alphabeta	black	2	26	16.813397999999996	1
6	alphabeta	white	2	74	55.979199000000015	1
6	alphabeta	black	2	74	41.592489999999984	-1
7	alphabeta	white	2	66	34.99131700000002	1
7	alphabeta	black	2	66	23.461311000000002	-1
8	alphabeta	white	2	42	22.689235999999998	1
8	alphabeta	black	2	42	21.32416500000001	-1
9	alphabeta	white	2	36	17.750663000000003	-1
9	alphabeta	black	2	36	24.740209000000004	1
10	alphabeta	white	2	48	24.04320700000001	-1
10	alphabeta	black	2	48	30.895154	1
11	alphabeta	white	2	40	22.111169	1
11	alphabeta	black	2	40	18.528149	-1
12	alphabeta	white	2	73	24.035652999999996	1
12	alphabeta	black	2	73	24.982218999999997	-1
13	alphabeta	white	2	51	29.558571	-1
13	alphabeta	black	2	51	34.51522800000001	1
14	alphabeta	white	2	191	47.881321000000035	-1
14	alphabeta	black	2	191	42.138873999999994	1
15	alphabeta	white	2	43	27.716691	-1
15	alphabeta	black	2	43	34.17717600000001	1
16	alphabeta	white	2	27	18.297548	-1
16	alphabeta	black	2	27	19.822107000000006	1
17	alphabeta	white	2	42	34.73712499999999	1
17	alphabeta	black	2	42	27.551053	-1
18	alphabeta	white	2	35	25.091030000000003	-1
18	alphabeta	black	2	35	22.929040000000004	1
19	alphabeta	white	2	186	41.90926100000001	0
19	alphabeta	black	2	186	51.11980700000001	0
20	alphabeta	white	2	338	60.054829999999946	0
20	alphabeta	black	2	338	40.58453900000004	0
21	alphabeta	white	2	86	29.101923000000006	-1
21	alphabeta	black	2	86	32.37427299999999	1
22	alphabeta	white	2	30	15.362290999999999	1
22	alphabeta	black	2	30	10.678262000000002	-1
23	alphabeta	white	2	61	32.19137799999999	1
23	alphabeta	black	2	61	27.45682	-1
