game_number	agent_type	agent_color	agent_depth	agent_num_moves	agent_decision_time	game_result
0	alphabeta	white	2	51	30.715486000000002	1
0	alphabeta	black	2	51	22.548865999999997	-1
1	alphabeta	white	2	33	18.478157	0
1	alphabeta	black	2	33	7.218196999999999	0
2	alphabeta	white	2	47	35.15248499999999	1
2	alphabeta	black	2	47	25.376807000000003	-1
3	alphabeta	white	2	44	34.675431	0
3	alphabeta	black	2	44	14.220162	0
4	alphabeta	white	2	55	30.746385000000004	0
4	alphabeta	black	2	55	33.705681000000006	0
5	alphabeta	white	2	33	34.512108	1
5	alphabeta	black	2	33	26.583043	-1
6	alphabeta	white	2	57	36.24424100000001	-1
6	alphabeta	black	2	57	41.285897999999996	1
7	alphabeta	white	2	44	34.575511999999996	0
7	alphabeta	black	2	44	0.09039699999999995	0
8	alphabeta	white	2	38	33.374944	0
8	alphabeta	black	2	38	0.399005	0
9	alphabeta	white	2	35	29.176522	1
9	alphabeta	black	2	35	14.937781000000001	-1
10	alphabeta	white	2	53	29.94547400000001	0
10	alphabeta	black	2	53	19.715947000000003	0
11	alphabeta	white	2	41	25.84334899999999	0
11	alphabeta	black	2	41	12.955884000000003	0
12	alphabeta	white	2	45	26.085399000000002	-1
12	alphabeta	black	2	45	22.572964000000006	1
13	alphabeta	white	2	68	40.58339599999999	1
13	alphabeta	black	2	68	21.72463900000001	-1
14	alphabeta	white	2	61	28.705356000000002	1
14	alphabeta	black	2	61	18.193521999999998	-1
15	alphabeta	white	2	55	25.950232000000003	1
15	alphabeta	black	2	55	9.822534999999997	-1
16	alphabeta	white	2	26	18.809869999999997	-1
16	alphabeta	black	2	26	8.472271000000001	1
17	alphabeta	white	2	60	43.647091	1
17	alphabeta	black	2	60	16.632553999999992	-1
18	alphabeta	white	2	41	24.264524	-1
18	alphabeta	black	2	41	17.259176	1
19	alphabeta	white	2	40	29.053254000000003	0
19	alphabeta	black	2	40	14.817841000000003	0
20	alphabeta	white	2	59	33.87841500000001	0
20	alphabeta	black	2	59	21.005722000000002	0
21	alphabeta	white	2	39	28.01426	0
21	alphabeta	black	2	39	14.734965	0
22	alphabeta	white	2	117	43.67244499999998	1
22	alphabeta	black	2	117	23.152465000000014	-1
23	alphabeta	white	2	58	30.97982900000001	0
23	alphabeta	black	2	58	14.800972000000003	0
24	alphabeta	white	2	48	29.736387000000015	0
24	alphabeta	black	2	48	6.183678000000001	0
25	alphabeta	white	2	41	28.038683	-1
25	alphabeta	black	2	41	23.611759000000003	1
26	alphabeta	white	2	74	35.13208499999998	0
26	alphabeta	black	2	74	22.823819999999998	0
27	alphabeta	white	2	44	26.739262	1
27	alphabeta	black	2	44	17.734246000000002	-1
28	alphabeta	white	2	29	15.772808	0
28	alphabeta	black	2	29	8.825442000000002	0
29	alphabeta	white	2	75	29.250569999999993	-1
29	alphabeta	black	2	75	23.087832000000006	1
30	alphabeta	white	2	47	24.192899999999998	1
30	alphabeta	black	2	47	11.606574999999998	-1
31	alphabeta	white	2	47	26.84935100000001	1
31	alphabeta	black	2	47	3.785974999999999	-1
32	alphabeta	white	2	60	44.546914000000015	1
32	alphabeta	black	2	60	0.15069299999999994	-1
33	alphabeta	white	2	47	35.209207000000006	1
33	alphabeta	black	2	47	16.903857000000002	-1
34	alphabeta	white	2	47	47.876312	1
34	alphabeta	black	2	47	23.391591	-1
35	alphabeta	white	2	91	25.882034000000008	1
35	alphabeta	black	2	91	10.55480399999999	-1
36	alphabeta	white	2	57	26.465909999999997	0
36	alphabeta	black	2	57	6.149051999999999	0
37	alphabeta	white	2	37	25.562074000000003	-1
37	alphabeta	black	2	37	17.950279	1
38	alphabeta	white	2	35	33.532992	1
38	alphabeta	black	2	35	23.729094999999997	-1
39	alphabeta	white	2	81	32.81380799999999	0
39	alphabeta	black	2	81	6.867261000000001	0
40	alphabeta	white	2	47	34.91154	0
40	alphabeta	black	2	47	6.644822999999999	0
41	alphabeta	white	2	37	25.351538	-1
41	alphabeta	black	2	37	15.090678999999998	1
42	alphabeta	white	2	103	40.089009	0
42	alphabeta	black	2	103	20.467000999999996	0
43	alphabeta	white	2	50	34.52248999999998	1
43	alphabeta	black	2	50	14.947651999999998	-1
44	alphabeta	white	2	45	34.089146	1
44	alphabeta	black	2	45	1.8937889999999995	-1
45	alphabeta	white	2	74	46.43088999999999	1
45	alphabeta	black	2	74	20.167724	-1
46	alphabeta	white	2	35	22.24269	1
46	alphabeta	black	2	35	5.077573	-1
47	alphabeta	white	2	17	9.777956000000001	1
47	alphabeta	black	2	17	2.7114059999999998	-1
48	alphabeta	white	2	82	38.820005	1
48	alphabeta	black	2	82	17.53199200000001	-1
49	alphabeta	white	2	52	33.55014900000001	0
49	alphabeta	black	2	52	5.668681	0
50	alphabeta	white	2	54	20.548580000000005	0
50	alphabeta	black	2	54	9.813737999999994	0
51	alphabeta	white	2	31	19.625588	-1
51	alphabeta	black	2	31	9.827739	1
52	alphabeta	white	2	47	34.756675	0
52	alphabeta	black	2	47	0.08972499999999996	0
53	alphabeta	white	2	85	25.895861	0
53	alphabeta	black	2	85	10.110487999999995	0
54	alphabeta	white	2	26	17.909423	-1
54	alphabeta	black	2	26	6.288468	1
55	alphabeta	white	2	19	8.517095999999999	1
55	alphabeta	black	2	19	2.691093	-1
56	alphabeta	white	2	41	34.552355999999996	1
56	alphabeta	black	2	41	1.468434	-1
57	alphabeta	white	2	51	31.485860000000002	0
57	alphabeta	black	2	51	12.165376000000002	0
58	alphabeta	white	2	39	29.005785	0
58	alphabeta	black	2	39	3.358784	0
59	alphabeta	white	2	71	28.21682099999999	0
59	alphabeta	black	2	71	11.748071	0
60	alphabeta	white	2	56	33.19275100000001	-1
60	alphabeta	black	2	56	10.950807000000001	1
61	alphabeta	white	2	78	28.428093000000015	-1
61	alphabeta	black	2	78	5.847606	1
62	alphabeta	white	2	127	34.54185799999999	0
62	alphabeta	black	2	127	9.321173000000002	0
63	alphabeta	white	2	36	33.411895	1
63	alphabeta	black	2	36	20.640581	-1
64	alphabeta	white	2	16	7.819756	1
64	alphabeta	black	2	16	2.007565	-1
65	alphabeta	white	2	42	25.305038999999997	-1
65	alphabeta	black	2	42	15.768977	1
66	alphabeta	white	2	91	28.980173999999987	0
66	alphabeta	black	2	91	19.986272000000007	0
67	alphabeta	white	2	64	28.402631999999993	0
67	alphabeta	black	2	64	18.943044000000004	0
68	alphabeta	white	2	40	25.092952999999998	0
68	alphabeta	black	2	40	7.655493999999998	0
69	alphabeta	white	2	60	38.635662999999994	0
69	alphabeta	black	2	60	5.204012999999997	0
70	alphabeta	white	2	47	29.335198000000002	0
70	alphabeta	black	2	47	4.130598	0
71	alphabeta	white	2	51	33.048727	-1
71	alphabeta	black	2	51	33.99526900000001	1
72	alphabeta	white	2	22	11.393825999999999	1
72	alphabeta	black	2	22	0.599568	-1
73	alphabeta	white	2	47	35.110888	0
73	alphabeta	black	2	47	0.08989099999999997	0
74	alphabeta	white	2	31	18.117906000000005	1
74	alphabeta	black	2	31	8.612060999999999	-1
75	alphabeta	white	2	80	32.50405299999999	0
75	alphabeta	black	2	80	1.7041549999999996	0
76	alphabeta	white	2	37	25.37459799999999	1
76	alphabeta	black	2	37	7.088711999999999	-1
77	alphabeta	white	2	35	26.814787	-1
77	alphabeta	black	2	35	4.82268	1
78	alphabeta	white	2	36	16.175929000000004	1
78	alphabeta	black	2	36	7.787401000000002	-1
79	alphabeta	white	2	51	28.37136200000001	1
79	alphabeta	black	2	51	10.337470000000003	-1
80	alphabeta	white	2	74	32.677623000000004	0
80	alphabeta	black	2	74	6.866059999999999	0
81	alphabeta	white	2	50	30.061087999999998	-1
81	alphabeta	black	2	50	8.408897999999999	1
82	alphabeta	white	2	42	23.77224199999999	1
82	alphabeta	black	2	42	13.107904000000001	-1
83	alphabeta	white	2	60	45.478229000000006	1
83	alphabeta	black	2	60	8.17879	-1
84	alphabeta	white	2	34	19.342412	1
84	alphabeta	black	2	34	5.397169	-1
85	alphabeta	white	2	186	49.12570099999998	0
85	alphabeta	black	2	186	30.016196	0
86	alphabeta	white	2	22	10.858980000000004	1
86	alphabeta	black	2	22	3.934254	-1
87	alphabeta	white	2	40	28.760150999999986	1
87	alphabeta	black	2	40	4.448903	-1
88	alphabeta	white	2	46	34.72189	1
88	alphabeta	black	2	46	11.910601	-1
89	alphabeta	white	2	39	28.594821	1
89	alphabeta	black	2	39	3.0492129999999995	-1
90	alphabeta	white	2	33	16.702368	0
90	alphabeta	black	2	33	6.3870650000000015	0
91	alphabeta	white	2	48	32.105637	0
91	alphabeta	black	2	48	19.114243000000005	0
92	alphabeta	white	2	36	19.461774000000005	0
92	alphabeta	black	2	36	5.777912	0
93	alphabeta	white	2	28	17.521138	-1
93	alphabeta	black	2	28	8.408411000000001	1
94	alphabeta	white	2	36	25.699983000000003	-1
94	alphabeta	black	2	36	2.306681	1
95	alphabeta	white	2	29	26.916384000000004	0
95	alphabeta	black	2	29	1.446166	0
96	alphabeta	white	2	28	25.345948000000007	1
96	alphabeta	black	2	28	2.064583	-1
97	alphabeta	white	2	95	36.356061000000004	0
97	alphabeta	black	2	95	14.336314000000005	0
98	alphabeta	white	2	145	32.58504100000001	0
98	alphabeta	black	2	145	13.069184000000002	0
99	alphabeta	white	2	59	41.459868999999976	0
99	alphabeta	black	2	59	6.392359999999999	0
