game_number	agent_type	agent_color	agent_depth	agent_num_moves	agent_decision_time	game_result
0	combined2	white	2	53	46.26895599999998	1
0	combined2	black	2	53	40.03628000000001	-1
1	combined2	white	2	53	46.38087500000001	1
1	combined2	black	2	53	40.07371099999999	-1
2	combined2	white	2	53	46.250256000000014	1
2	combined2	black	2	53	39.987359999999995	-1
3	combined2	white	2	53	46.219570000000004	1
3	combined2	black	2	53	39.99549299999999	-1
4	combined2	white	2	53	46.22010800000001	1
4	combined2	black	2	53	39.98599099999997	-1
5	combined2	white	2	53	46.256274000000005	1
5	combined2	black	2	53	40.010245000000005	-1
6	combined2	white	2	53	46.25446900000001	1
6	combined2	black	2	53	40.004584	-1
7	combined2	white	2	53	46.239634	1
7	combined2	black	2	53	40.043526	-1
8	combined2	white	2	53	46.244853000000006	1
8	combined2	black	2	53	40.001932	-1
9	combined2	white	2	53	46.244096	1
9	combined2	black	2	53	40.018552	-1
10	combined2	white	2	53	46.226268999999974	1
10	combined2	black	2	53	40.02601199999999	-1
11	combined2	white	2	53	46.245903000000006	1
11	combined2	black	2	53	39.97207199999999	-1
12	combined2	white	2	53	46.33189499999999	1
12	combined2	black	2	53	40.13843299999999	-1
13	combined2	white	2	53	46.21648300000001	1
13	combined2	black	2	53	39.955421	-1
14	combined2	white	2	53	46.194374999999994	1
14	combined2	black	2	53	40.00699599999999	-1
15	combined2	white	2	53	46.22712599999999	1
15	combined2	black	2	53	39.959896	-1
16	combined2	white	2	53	46.19662	1
16	combined2	black	2	53	40.00971200000002	-1
17	combined2	white	2	53	46.173462000000015	1
17	combined2	black	2	53	39.987925	-1
18	combined2	white	2	53	46.195104	1
18	combined2	black	2	53	39.976261	-1
19	combined2	white	2	53	46.263719	1
19	combined2	black	2	53	40.01229000000003	-1
20	combined2	white	2	53	46.24348800000003	1
20	combined2	black	2	53	39.947486000000005	-1
21	combined2	white	2	53	46.19203700000001	1
21	combined2	black	2	53	39.984073	-1
22	combined2	white	2	53	46.251126000000006	1
22	combined2	black	2	53	40.02387800000001	-1
23	combined2	white	2	53	46.36524599999999	1
23	combined2	black	2	53	40.063146	-1
24	combined2	white	2	53	46.22998100000001	1
24	combined2	black	2	53	40.012766000000006	-1
25	combined2	white	2	53	46.45426	1
25	combined2	black	2	53	40.20346899999998	-1
26	combined2	white	2	53	46.242795	1
26	combined2	black	2	53	39.983477	-1
27	combined2	white	2	53	46.24448199999999	1
27	combined2	black	2	53	40.02647600000002	-1
28	combined2	white	2	53	46.258126	1
28	combined2	black	2	53	39.985164	-1
29	combined2	white	2	53	46.25018999999998	1
29	combined2	black	2	53	39.981784000000005	-1
30	combined2	white	2	53	46.260401000000016	1
30	combined2	black	2	53	39.98820899999998	-1
31	combined2	white	2	53	46.234411999999985	1
31	combined2	black	2	53	40.011622000000024	-1
32	combined2	white	2	53	46.293914999999984	1
32	combined2	black	2	53	40.066307	-1
33	combined2	white	2	53	46.21976100000001	1
33	combined2	black	2	53	39.97067500000001	-1
34	combined2	white	2	53	46.22812099999998	1
34	combined2	black	2	53	39.96236899999999	-1
35	combined2	white	2	53	46.17769100000002	1
35	combined2	black	2	53	40.00507400000001	-1
36	combined2	white	2	53	46.29643700000002	1
36	combined2	black	2	53	40.107116999999995	-1
37	combined2	white	2	53	46.19457099999999	1
37	combined2	black	2	53	40.001012	-1
38	combined2	white	2	53	46.23699099999998	1
38	combined2	black	2	53	40.033966	-1
39	combined2	white	2	53	46.285318999999994	1
39	combined2	black	2	53	40.027376999999994	-1
40	combined2	white	2	53	46.265996	1
40	combined2	black	2	53	40.00656200000001	-1
41	combined2	white	2	53	46.217206000000026	1
41	combined2	black	2	53	39.96004200000001	-1
42	combined2	white	2	53	46.20906700000001	1
42	combined2	black	2	53	40.005013	-1
43	combined2	white	2	53	46.20986600000001	1
43	combined2	black	2	53	39.999221999999996	-1
44	combined2	white	2	53	46.26134200000001	1
44	combined2	black	2	53	40.054325999999996	-1
45	combined2	white	2	53	46.240002000000004	1
45	combined2	black	2	53	40.01527299999999	-1
46	combined2	white	2	53	46.283996	1
46	combined2	black	2	53	40.047578	-1
47	combined2	white	2	53	46.232997999999995	1
47	combined2	black	2	53	40.020301999999994	-1
48	combined2	white	2	53	46.23411699999999	1
48	combined2	black	2	53	40.00477100000001	-1
49	combined2	white	2	53	46.337927	1
49	combined2	black	2	53	40.079546999999984	-1
50	combined2	white	2	53	46.249449000000006	1
50	combined2	black	2	53	40.006766999999996	-1
51	combined2	white	2	53	46.227322	1
51	combined2	black	2	53	40.007699	-1
52	combined2	white	2	53	46.239252000000015	1
52	combined2	black	2	53	39.986526	-1
53	combined2	white	2	53	46.264869	1
53	combined2	black	2	53	40.00453	-1
54	combined2	white	2	53	49.136128	1
54	combined2	black	2	53	42.302716000000004	-1
55	combined2	white	2	53	50.92062499999999	1
55	combined2	black	2	53	44.159388	-1
56	combined2	white	2	53	46.264917999999994	1
56	combined2	black	2	53	39.988158000000006	-1
57	combined2	white	2	53	46.194403000000015	1
57	combined2	black	2	53	40.010874	-1
58	combined2	white	2	53	46.25557800000001	1
58	combined2	black	2	53	40.06373899999999	-1
59	combined2	white	2	53	46.219889	1
59	combined2	black	2	53	39.986357000000005	-1
60	combined2	white	2	53	46.360615	1
60	combined2	black	2	53	40.117799000000005	-1
61	combined2	white	2	53	46.21581700000001	1
61	combined2	black	2	53	39.99770800000001	-1
62	combined2	white	2	53	46.205198999999986	1
62	combined2	black	2	53	40.01388700000001	-1
63	combined2	white	2	53	46.244372000000006	1
63	combined2	black	2	53	39.969513000000006	-1
64	combined2	white	2	53	46.20163300000001	1
64	combined2	black	2	53	40.00418700000001	-1
65	combined2	white	2	53	46.20035800000001	1
65	combined2	black	2	53	39.997023999999996	-1
66	combined2	white	2	53	46.233746999999994	1
66	combined2	black	2	53	39.979259	-1
67	combined2	white	2	53	46.316655000000004	1
67	combined2	black	2	53	40.057230000000004	-1
68	combined2	white	2	53	46.229599000000015	1
68	combined2	black	2	53	39.997649	-1
69	combined2	white	2	53	46.244824000000015	1
69	combined2	black	2	53	40.00611099999999	-1
70	combined2	white	2	53	46.19849899999999	1
70	combined2	black	2	53	40.02425500000001	-1
71	combined2	white	2	53	46.226431	1
71	combined2	black	2	53	39.97990800000001	-1
72	combined2	white	2	53	46.33284000000001	1
72	combined2	black	2	53	40.103754	-1
73	combined2	white	2	53	46.213516	1
73	combined2	black	2	53	40.02549599999999	-1
74	combined2	white	2	53	46.28286499999999	1
74	combined2	black	2	53	40.056591000000004	-1
75	combined2	white	2	53	46.207153999999996	1
75	combined2	black	2	53	40.013937999999996	-1
76	combined2	white	2	53	46.251424	1
76	combined2	black	2	53	39.99659300000001	-1
77	combined2	white	2	53	46.231852999999994	1
77	combined2	black	2	53	40.01119099999999	-1
78	combined2	white	2	53	46.22667600000001	1
78	combined2	black	2	53	39.97848199999999	-1
79	combined2	white	2	53	46.265082	1
79	combined2	black	2	53	40.009106	-1
80	combined2	white	2	53	46.23128499999999	1
80	combined2	black	2	53	40.00181600000001	-1
81	combined2	white	2	53	46.27457199999999	1
81	combined2	black	2	53	40.054242	-1
82	combined2	white	2	53	46.208951	1
82	combined2	black	2	53	39.987305000000006	-1
83	combined2	white	2	53	46.223315	1
83	combined2	black	2	53	39.984244999999994	-1
84	combined2	white	2	53	46.331513999999984	1
84	combined2	black	2	53	40.066016000000005	-1
85	combined2	white	2	53	46.206795	1
85	combined2	black	2	53	39.96196000000001	-1
86	combined2	white	2	53	46.25092499999998	1
86	combined2	black	2	53	39.982020999999975	-1
87	combined2	white	2	53	46.23201600000001	1
87	combined2	black	2	53	40.014056999999994	-1
88	combined2	white	2	53	46.313219999999994	1
88	combined2	black	2	53	40.00905199999999	-1
89	combined2	white	2	53	46.213969999999996	1
89	combined2	black	2	53	40.004008999999996	-1
90	combined2	white	2	53	46.238628000000034	1
90	combined2	black	2	53	39.977769	-1
91	combined2	white	2	53	46.24466199999998	1
91	combined2	black	2	53	40.030327	-1
92	combined2	white	2	53	46.22883799999999	1
92	combined2	black	2	53	39.99361100000001	-1
