game_number	agent_type	agent_color	agent_depth	agent_num_moves	agent_decision_time	game_result
0	history2	white	2	23	17.247702999999998	1
0	history2	black	2	23	15.318224000000003	-1
1	history2	white	2	23	17.248739999999998	1
1	history2	black	2	23	15.340732999999998	-1
2	history2	white	2	23	17.353527999999997	1
2	history2	black	2	23	15.422996000000001	-1
3	history2	white	2	23	17.27084	1
3	history2	black	2	23	15.291090999999998	-1
4	history2	white	2	23	17.289948	1
4	history2	black	2	23	15.3128	-1
5	history2	white	2	23	17.286515	1
5	history2	black	2	23	15.42606	-1
6	history2	white	2	23	17.237143	1
6	history2	black	2	23	15.284073999999999	-1
7	history2	white	2	23	17.318862999999997	1
7	history2	black	2	23	15.336350999999999	-1
8	history2	white	2	23	17.240042	1
8	history2	black	2	23	15.297365999999998	-1
9	history2	white	2	23	17.339439	1
9	history2	black	2	23	15.371142999999998	-1
10	history2	white	2	23	17.299035999999994	1
10	history2	black	2	23	15.388131000000001	-1
11	history2	white	2	23	17.223622000000002	1
11	history2	black	2	23	15.282190000000003	-1
12	history2	white	2	23	17.254184	1
12	history2	black	2	23	15.301744	-1
13	history2	white	2	23	17.380849999999995	1
13	history2	black	2	23	15.371966000000004	-1
14	history2	white	2	23	17.174383000000002	1
14	history2	black	2	23	15.265527000000002	-1
15	history2	white	2	23	17.497864999999997	1
15	history2	black	2	23	15.537428	-1
16	history2	white	2	23	17.238447	1
16	history2	black	2	23	15.320329999999997	-1
17	history2	white	2	23	17.288017	1
17	history2	black	2	23	15.310236000000002	-1
18	history2	white	2	23	17.281974	1
18	history2	black	2	23	15.389689000000002	-1
19	history2	white	2	23	17.229552	1
19	history2	black	2	23	15.204123000000001	-1
20	history2	white	2	23	17.225911999999997	1
20	history2	black	2	23	15.312975	-1
21	history2	white	2	23	17.352995999999997	1
21	history2	black	2	23	15.381013000000001	-1
22	history2	white	2	23	17.232846000000002	1
22	history2	black	2	23	15.287788000000003	-1
23	history2	white	2	23	17.278532000000002	1
23	history2	black	2	23	15.319072000000004	-1
24	history2	white	2	23	17.248322	1
24	history2	black	2	23	15.342880999999998	-1
25	history2	white	2	23	17.269956	1
25	history2	black	2	23	15.251733999999999	-1
26	history2	white	2	23	17.31901	1
26	history2	black	2	23	15.351924999999996	-1
27	history2	white	2	23	17.178083	1
27	history2	black	2	23	15.193997000000001	-1
28	history2	white	2	23	17.289198	1
28	history2	black	2	23	15.367244999999995	-1
29	history2	white	2	23	17.335631	1
29	history2	black	2	23	15.323906	-1
30	history2	white	2	23	17.233764	1
30	history2	black	2	23	15.238119999999999	-1
31	history2	white	2	23	17.242119	1
31	history2	black	2	23	15.301299	-1
32	history2	white	2	23	17.320439000000004	1
32	history2	black	2	23	15.448756000000001	-1
33	history2	white	2	23	17.190397	1
33	history2	black	2	23	15.209154999999999	-1
34	history2	white	2	23	17.28351	1
34	history2	black	2	23	15.328005999999998	-1
35	history2	white	2	23	17.194601000000002	1
