game_number	agent_type	agent_color	agent_depth	agent_num_moves	agent_decision_time	game_result
0	minimax2	white	2	10	6.026788	1
0	alphabeta2	black	2	10	5.200307000000001	-1
1	minimax2	white	2	69	41.654320000000006	1
1	alphabeta2	black	2	69	26.423927999999993	-1
2	minimax2	white	2	35	24.608311999999998	1
2	alphabeta2	black	2	35	19.587669	-1
3	minimax2	white	2	22	14.474341999999995	-1
3	alphabeta2	black	2	22	12.270784	1
4	minimax2	white	2	48	30.869197999999997	1
4	alphabeta2	black	2	48	26.295561	-1
5	minimax2	white	2	72	17.842552	-1
5	alphabeta2	black	2	72	21.844229000000006	1
6	minimax2	white	2	11	5.4795370000000005	1
6	alphabeta2	black	2	11	4.4079500000000005	-1
7	minimax2	white	2	44	36.83634600000001	1
7	alphabeta2	black	2	44	30.575913000000007	-1
8	minimax2	white	2	44	27.156066999999993	1
8	alphabeta2	black	2	44	23.751301999999992	-1
9	minimax2	white	2	31	37.91321500000001	1
9	alphabeta2	black	2	31	35.014741	-1
10	minimax2	white	2	42	32.452960000000004	1
10	alphabeta2	black	2	42	24.32666	-1
11	minimax2	white	2	50	32.848581	1
11	alphabeta2	black	2	50	19.999937999999997	-1
12	minimax2	white	2	35	32.96182100000001	-1
12	alphabeta2	black	2	35	30.174866	1
13	minimax2	white	2	109	48.44749600000002	-1
13	alphabeta2	black	2	109	39.98893499999997	1
14	minimax2	white	2	47	36.055529	1
14	alphabeta2	black	2	47	35.620405999999996	-1
15	minimax2	white	2	55	35.174073000000014	1
15	alphabeta2	black	2	55	48.13634899999999	-1
16	minimax2	white	2	30	27.305487999999997	1
16	alphabeta2	black	2	30	25.075620999999998	-1
17	minimax2	white	2	30	25.748053	1
17	alphabeta2	black	2	30	21.220848	-1
18	minimax2	white	2	286	55.40527099999992	1
18	alphabeta2	black	2	286	44.36937500000002	-1
19	minimax2	white	2	29	23.280753000000004	1
19	alphabeta2	black	2	29	18.806726000000005	-1
20	minimax2	white	2	92	37.482398	-1
20	alphabeta2	black	2	92	32.85681399999999	1
21	minimax2	white	2	28	25.016808	1
21	alphabeta2	black	2	28	22.343523	-1
22	minimax2	white	2	35	28.938484	-1
22	alphabeta2	black	2	35	28.714925999999995	1
23	minimax2	white	2	53	25.815442999999995	-1
23	alphabeta2	black	2	53	24.298439	1
24	minimax2	white	2	23	10.703852	1
24	alphabeta2	black	2	23	9.005359999999998	-1
25	minimax2	white	2	36	21.25423599999999	-1
25	alphabeta2	black	2	36	19.729982999999997	1
26	minimax2	white	2	31	26.371156000000003	1
26	alphabeta2	black	2	31	24.008985999999997	-1
27	minimax2	white	2	210	60.15344900000003	0
27	alphabeta2	black	2	210	45.676778000000006	0
28	minimax2	white	2	194	57.38873000000003	-1
28	alphabeta2	black	2	194	53.68451100000005	1
29	minimax2	white	2	41	33.965939999999996	1
29	alphabeta2	black	2	41	28.918440000000007	-1
30	minimax2	white	2	36	19.770017000000003	1
30	alphabeta2	black	2	36	7.444899999999999	-1
31	minimax2	white	2	41	32.270993	1
31	alphabeta2	black	2	41	26.238867000000003	-1
32	minimax2	white	2	43	31.399599000000002	1
32	alphabeta2	black	2	43	29.744477999999997	-1
33	minimax2	white	2	62	24.352601999999994	-1
33	alphabeta2	black	2	62	24.79792099999999	1
34	minimax2	white	2	29	23.800421	-1
34	alphabeta2	black	2	29	24.499312999999997	1
35	minimax2	white	2	45	40.739003	1
35	alphabeta2	black	2	45	37.76419600000001	-1
36	minimax2	white	2	30	26.616615000000007	1
36	alphabeta2	black	2	30	23.083533999999997	-1
37	minimax2	white	2	85	53.925653000000004	1
37	alphabeta2	black	2	85	41.930828999999974	-1
38	minimax2	white	2	319	50.497942000000045	0
38	alphabeta2	black	2	319	42.608629999999984	0
39	minimax2	white	2	30	22.999981	1
39	alphabeta2	black	2	30	19.697055999999993	-1
40	minimax2	white	2	45	37.728157	-1
40	alphabeta2	black	2	45	38.21844000000001	1
41	minimax2	white	2	65	36.104676	0
41	alphabeta2	black	2	65	28.966829999999995	0
42	minimax2	white	2	29	23.705921000000004	1
42	alphabeta2	black	2	29	19.827458	-1
43	minimax2	white	2	36	30.788528000000007	1
43	alphabeta2	black	2	36	28.567124999999997	-1
44	minimax2	white	2	32	26.687619	1
44	alphabeta2	black	2	32	23.856014	-1
45	minimax2	white	2	24	22.414658000000003	-1
45	alphabeta2	black	2	24	21.392184	1
46	minimax2	white	2	31	25.638752000000007	1
46	alphabeta2	black	2	31	23.285263999999994	-1
47	minimax2	white	2	17	8.959103	1
47	alphabeta2	black	2	17	7.232391	-1
48	minimax2	white	2	19	12.594382999999999	1
48	alphabeta2	black	2	19	7.846139000000001	-1
49	minimax2	white	2	59	39.432971	-1
49	alphabeta2	black	2	59	35.77079500000001	1
50	minimax2	white	2	28	22.310077999999997	1
50	alphabeta2	black	2	28	19.940316999999997	-1
51	minimax2	white	2	29	22.598726	1
51	alphabeta2	black	2	29	19.320251999999996	-1
52	minimax2	white	2	38	28.686881999999997	1
52	alphabeta2	black	2	38	26.449843999999995	-1
53	minimax2	white	2	49	34.193637	1
53	alphabeta2	black	2	49	25.211875000000006	-1
54	minimax2	white	2	17	14.222466	1
54	alphabeta2	black	2	17	13.262958	-1
55	minimax2	white	2	17	13.995938	1
55	alphabeta2	black	2	17	13.268953000000002	-1
56	minimax2	white	2	23	19.003450999999995	1
56	alphabeta2	black	2	23	16.898872000000004	-1
57	minimax2	white	2	127	41.40640399999998	0
57	alphabeta2	black	2	127	25.253990000000005	0
58	minimax2	white	2	222	61.58565100000007	0
58	alphabeta2	black	2	222	46.27213500000001	0
59	minimax2	white	2	35	21.196831999999993	-1
59	alphabeta2	black	2	35	19.609741000000003	1
60	minimax2	white	2	32	24.274856	1
60	alphabeta2	black	2	32	20.181636999999995	-1
61	minimax2	white	2	179	37.12424600000002	0
61	alphabeta2	black	2	179	31.312980000000017	0
62	minimax2	white	2	80	19.376126000000006	1
62	alphabeta2	black	2	80	28.347869	-1
63	minimax2	white	2	24	20.690452999999998	1
63	alphabeta2	black	2	24	17.820990000000002	-1
64	minimax2	white	2	29	21.320666	-1
64	alphabeta2	black	2	29	26.961738999999998	1
65	minimax2	white	2	26	16.140348	-1
65	alphabeta2	black	2	26	18.186386000000002	1
66	minimax2	white	2	30	24.832662	-1
66	alphabeta2	black	2	30	25.920073	1
67	minimax2	white	2	27	15.231698	-1
67	alphabeta2	black	2	27	17.498492	1
68	minimax2	white	2	25	14.825922	1
68	alphabeta2	black	2	25	8.532848999999997	-1
69	minimax2	white	2	43	29.730841	1
69	alphabeta2	black	2	43	22.945127999999997	-1
70	minimax2	white	2	47	39.92088699999998	-1
70	alphabeta2	black	2	47	40.094205	1
71	minimax2	white	2	180	52.39252899999998	0
71	alphabeta2	black	2	180	39.451052999999995	0
72	minimax2	white	2	51	38.82509700000001	-1
72	alphabeta2	black	2	51	33.39891000000001	1
73	minimax2	white	2	36	30.60757899999999	1
73	alphabeta2	black	2	36	28.522608	-1
74	minimax2	white	2	27	21.429045000000002	1
74	alphabeta2	black	2	27	17.724046	-1
75	minimax2	white	2	61	38.06509799999999	1
75	alphabeta2	black	2	61	30.06231600000001	-1
76	minimax2	white	2	47	23.587257000000005	1
76	alphabeta2	black	2	47	21.273028999999994	-1
77	minimax2	white	2	45	32.229679000000004	1
77	alphabeta2	black	2	45	30.476350000000004	-1
78	minimax2	white	2	36	28.787857000000002	-1
78	alphabeta2	black	2	36	29.140628	1
79	minimax2	white	2	104	40.081575000000015	-1
79	alphabeta2	black	2	104	39.75683800000002	1
80	minimax2	white	2	35	24.244521	1
80	alphabeta2	black	2	35	19.503353000000004	-1
81	minimax2	white	2	131	28.008962999999987	-1
81	alphabeta2	black	2	131	30.706975999999994	1
