game_number	agent_type	agent_color	agent_depth	agent_num_moves	agent_decision_time	game_result
0	minimax	white	2	22	11.535225	-1
0	alphabeta	black	2	22	12.538926000000002	1
1	minimax	white	2	82	24.095227000000026	-1
1	alphabeta	black	2	82	23.521935999999997	1
2	minimax	white	2	34	16.651206999999996	1
2	alphabeta	black	2	34	10.961745000000002	-1
3	minimax	white	2	34	12.515619000000001	1
3	alphabeta	black	2	34	8.314731	-1
4	minimax	white	2	85	26.256586000000002	-1
4	alphabeta	black	2	85	25.356172000000008	1
5	minimax	white	2	192	34.81242400000001	0
5	alphabeta	black	2	192	49.47937400000001	0
6	minimax	white	2	22	11.074767	1
6	alphabeta	black	2	22	7.488891999999999	-1
7	minimax	white	2	70	25.73349600000001	-1
7	alphabeta	black	2	70	29.252789999999997	1
8	minimax	white	2	44	30.894551999999997	1
8	alphabeta	black	2	44	21.719152000000005	-1
9	minimax	white	2	37	17.950670999999996	1
9	alphabeta	black	2	37	11.671228000000003	-1
10	minimax	white	2	75	44.450536	1
10	alphabeta	black	2	75	24.262511000000018	-1
11	minimax	white	2	216	46.41192000000002	0
11	alphabeta	black	2	216	31.806774000000008	0
12	minimax	white	2	56	34.121245	1
12	alphabeta	black	2	56	20.77532400000001	-1
13	minimax	white	2	34	20.227524	1
13	alphabeta	black	2	34	15.970039000000005	-1
14	minimax	white	2	62	32.95038299999999	1
14	alphabeta	black	2	62	23.106340000000007	-1
15	minimax	white	2	38	18.351623999999997	1
15	alphabeta	black	2	38	15.770269	-1
16	minimax	white	2	201	35.14163500000001	1
16	alphabeta	black	2	201	25.873048000000004	-1
17	minimax	white	2	40	18.132824999999997	-1
17	alphabeta	black	2	40	23.551284	1
18	minimax	white	2	62	24.00759100000001	-1
18	alphabeta	black	2	62	27.78994999999999	1
19	minimax	white	2	57	31.430499999999995	1
19	alphabeta	black	2	57	20.621064000000004	-1
20	minimax	white	2	36	18.214107999999996	-1
20	alphabeta	black	2	36	21.652494000000004	1
21	minimax	white	2	61	29.119657	-1
21	alphabeta	black	2	61	37.698115999999985	1
22	minimax	white	2	27	14.152325	-1
22	alphabeta	black	2	27	15.867047000000003	1
23	minimax	white	2	79	48.63791699999999	1
23	alphabeta	black	2	79	37.729965	-1
24	minimax	white	2	51	18.892535000000006	-1
24	alphabeta	black	2	51	19.073829	1
25	minimax	white	2	33	17.927512000000004	1
25	alphabeta	black	2	33	17.450241999999996	-1
