game_number	agent_type	agent_color	agent_depth	agent_num_moves	agent_decision_time	game_result
0	pv2	white	2	217	33.08605900000001	0
0	pv2	black	2	217	37.258775	0
1	pv2	white	2	32	22.076686	1
1	pv2	black	2	32	19.315257	-1
2	pv2	white	2	180	34.80585199999999	-1
2	pv2	black	2	180	42.93421400000001	1
3	pv2	white	2	50	27.199118000000002	1
3	pv2	black	2	50	41.45058300000001	-1
4	pv2	white	2	42	31.647261999999998	1
4	pv2	black	2	42	29.372582000000005	-1
5	pv2	white	2	34	23.213479	1
5	pv2	black	2	34	20.246169	-1
6	pv2	white	2	22	16.715978	1
6	pv2	black	2	22	15.178268999999998	-1
7	pv2	white	2	36	28.592548999999995	-1
7	pv2	black	2	36	28.028143	1
8	pv2	white	2	38	18.974731	1
8	pv2	black	2	38	11.498608000000006	-1
9	pv2	white	2	16	8.453614	1
9	pv2	black	2	16	7.465597999999999	-1
10	pv2	white	2	15	6.1384099999999995	1
10	pv2	black	2	15	5.207642999999999	-1
11	pv2	white	2	23	17.234856	1
11	pv2	black	2	23	15.234725999999995	-1
12	pv2	white	2	43	24.334921000000005	1
12	pv2	black	2	43	18.736603000000006	-1
13	pv2	white	2	50	18.878785000000008	-1
13	pv2	black	2	50	27.021161999999993	1
14	pv2	white	2	39	28.214733000000006	-1
14	pv2	black	2	39	31.633422000000007	1
15	pv2	white	2	23	21.615104999999996	1
15	pv2	black	2	23	19.715211	-1
16	pv2	white	2	50	28.696475999999997	1
16	pv2	black	2	50	19.752590999999992	-1
17	pv2	white	2	33	21.665487	1
17	pv2	black	2	33	17.956285000000005	-1
18	pv2	white	2	34	22.024565000000006	1
18	pv2	black	2	34	18.764272999999992	-1
19	pv2	white	2	70	21.495130999999986	-1
19	pv2	black	2	70	20.754983000000003	1
20	pv2	white	2	61	20.311538999999996	-1
20	pv2	black	2	61	19.313612000000013	1
21	pv2	white	2	40	25.913114999999998	1
21	pv2	black	2	40	19.939236	-1
22	pv2	white	2	30	21.898428	1
22	pv2	black	2	30	19.128035999999998	-1
23	pv2	white	2	34	19.094833999999995	-1
