game_number	agent_type	agent_color	agent_depth	agent_num_moves	agent_decision_time	game_result
0	random	white	0	28	0.0050089999999999996	-1
0	alphabeta	black	2	28	28.329299000000006	1
1	random	white	0	6	0.0	-1
1	alphabeta	black	2	6	2.2860009999999997	1
2	random	white	0	3	0.0	-1
2	alphabeta	black	2	3	0.5006349999999999	1
3	random	white	0	32	0.004999	-1
3	alphabeta	black	2	32	20.503810000000005	1
4	random	white	0	40	0.012913	-1
4	alphabeta	black	2	40	17.954855000000006	1
5	random	white	0	22	0.0	-1
5	alphabeta	black	2	22	12.732225999999999	1
6	random	white	0	16	0.0029920000000000003	-1
6	alphabeta	black	2	16	10.381116	1
7	random	white	0	38	0.012995	-1
7	alphabeta	black	2	38	33.638885	1
8	random	white	0	4	0.0	-1
8	alphabeta	black	2	4	1.214454	1
9	random	white	0	14	0.002965	-1
9	alphabeta	black	2	14	7.284123	1
10	random	white	0	25	0.008976	-1
10	alphabeta	black	2	25	13.874397	1
11	random	white	0	19	0.006042	-1
11	alphabeta	black	2	19	11.831621	1
12	random	white	0	19	0.005008	-1
12	alphabeta	black	2	19	12.433952	1
13	random	white	0	18	0.002988	-1
13	alphabeta	black	2	18	12.604144	1
14	random	white	0	17	0.006954999999999999	-1
14	alphabeta	black	2	17	10.213475	1
15	random	white	0	31	0.008982999999999998	-1
15	alphabeta	black	2	31	19.804547999999997	1
16	random	white	0	25	0.006035	-1
16	alphabeta	black	2	25	15.529273	1
17	random	white	0	26	0.00499	-1
17	alphabeta	black	2	26	16.85664	1
18	random	white	0	23	0.0029890000000000003	-1
18	alphabeta	black	2	23	17.596345	1
19	random	white	0	25	0.004959	-1
19	alphabeta	black	2	25	13.544717	1
20	random	white	0	44	0.011969999999999998	-1
20	alphabeta	black	2	44	19.461154	1
21	random	white	0	16	0.0019909999999999997	-1
21	alphabeta	black	2	16	9.496414999999999	1
22	random	white	0	13	0.001993	-1
22	alphabeta	black	2	13	8.061397	1
23	random	white	0	23	0.002992	-1
23	alphabeta	black	2	23	12.753880000000002	1
24	random	white	0	44	0.014530999999999999	-1
24	alphabeta	black	2	44	17.617530999999993	1
25	random	white	0	24	0.004984000000000001	-1
25	alphabeta	black	2	24	17.463306999999997	1
26	random	white	0	7	0.000997	-1
26	alphabeta	black	2	7	2.6273489999999997	1
27	random	white	0	8	0.0	-1
27	alphabeta	black	2	8	2.9894800000000004	1
28	random	white	0	11	0.0019950000000000002	-1
28	alphabeta	black	2	11	5.056343	1
29	random	white	0	21	0.0019690000000000003	-1
29	alphabeta	black	2	21	15.608071000000002	1
30	random	white	0	9	0.000997	-1
30	alphabeta	black	2	9	4.14915	1
31	random	white	0	8	0.001988	-1
31	alphabeta	black	2	8	4.289922	1
32	random	white	0	28	0.006952999999999999	-1
32	alphabeta	black	2	28	17.611859999999997	1
33	random	white	0	23	0.00703	-1
33	alphabeta	black	2	23	12.801007	1
34	random	white	0	3	0.0	-1
34	alphabeta	black	2	3	0.5717490000000001	1
35	random	white	0	15	0.004009	-1
35	alphabeta	black	2	15	8.116491	1
36	random	white	0	33	0.012997	-1
36	alphabeta	black	2	33	25.722691	1
37	random	white	0	4	0.0	-1
37	alphabeta	black	2	4	0.947036	1
38	random	white	0	18	0.004961	-1
38	alphabeta	black	2	18	10.432172	1
39	random	white	0	17	0.0039900000000000005	-1
39	alphabeta	black	2	17	12.293784	1
40	random	white	0	32	0.011995	-1
40	alphabeta	black	2	32	29.19321500000001	1
41	random	white	0	12	0.001994	-1
41	alphabeta	black	2	12	7.69274	1
42	random	white	0	36	0.010943	-1
42	alphabeta	black	2	36	25.547617000000002	1
43	random	white	0	6	0.0	-1
43	alphabeta	black	2	6	2.228266	1
44	random	white	0	14	0.0039889999999999995	-1
44	alphabeta	black	2	14	7.2120099999999985	1
45	random	white	0	4	0.0	-1
45	alphabeta	black	2	4	0.982516	1
46	random	white	0	17	0.005978999999999999	-1
46	alphabeta	black	2	17	9.640664	1
47	random	white	0	7	0.0	-1
47	alphabeta	black	2	7	3.0740990000000004	1
48	random	white	0	16	0.0039889999999999995	-1
48	alphabeta	black	2	16	11.375224999999999	1
49	random	white	0	3	0.000997	-1
49	alphabeta	black	2	3	0.764574	1
50	random	white	0	4	0.000998	-1
50	alphabeta	black	2	4	0.8987240000000001	1
51	random	white	0	44	0.010971	-1
51	alphabeta	black	2	44	17.983835999999997	1
52	random	white	0	11	0.001993	-1
52	alphabeta	black	2	11	6.000146	1
53	random	white	0	20	0.003993	-1
53	alphabeta	black	2	20	13.109416	1
54	random	white	0	15	0.0	-1
54	alphabeta	black	2	15	9.763702000000002	1
55	random	white	0	22	0.004014	-1
55	alphabeta	black	2	22	15.555307	1
56	random	white	0	18	0.0049629999999999995	-1
56	alphabeta	black	2	18	11.545834999999999	1
57	random	white	0	47	0.013022	-1
57	alphabeta	black	2	47	30.761878	1
58	random	white	0	30	0.010946000000000001	-1
58	alphabeta	black	2	30	16.774407	1
59	random	white	0	32	0.01097	-1
59	alphabeta	black	2	32	21.861985	1
60	random	white	0	61	0.023510999999999994	-1
60	alphabeta	black	2	61	20.048085	1
61	random	white	0	14	0.004987	-1
61	alphabeta	black	2	14	7.426722000000001	1
62	random	white	0	22	0.0029930000000000004	-1
62	alphabeta	black	2	22	14.10801	1
63	random	white	0	26	0.006956	-1
63	alphabeta	black	2	26	21.745047000000003	1
64	random	white	0	7	0.0019960000000000004	-1
64	alphabeta	black	2	7	2.770794	1
65	random	white	0	3	0.0	-1
65	alphabeta	black	2	3	0.57702	1
66	random	white	0	31	0.006957999999999999	-1
66	alphabeta	black	2	31	17.97908	1
67	random	white	0	32	0.009977	-1
67	alphabeta	black	2	32	22.632601	1
