game_number	agent_type	agent_color	agent_depth	agent_num_moves	agent_decision_time	game_result
0	random	white	0	21	0.004973999999999999	-1
0	alphabeta2	black	2	21	14.114673000000002	1
1	random	white	0	57	0.019318	-1
1	alphabeta2	black	2	57	21.603628	1
2	random	white	0	6	0.001021	-1
2	alphabeta2	black	2	6	1.8513649999999997	1
3	random	white	0	6	0.001107	-1
3	alphabeta2	black	2	6	1.475337	1
4	random	white	0	29	0.008218999999999999	-1
4	alphabeta2	black	2	29	17.89818	1
5	random	white	0	6	0.0010940000000000001	-1
5	alphabeta2	black	2	6	2.15258	1
6	random	white	0	22	0.005541	-1
6	alphabeta2	black	2	22	16.597579	1
7	random	white	0	15	0.0031980000000000003	-1
7	alphabeta2	black	2	15	8.858849999999997	1
8	random	white	0	20	0.004801	-1
8	alphabeta2	black	2	20	11.522723000000001	1
9	random	white	0	12	0.002608	-1
9	alphabeta2	black	2	12	5.790430000000001	1
10	random	white	0	21	0.004978	-1
10	alphabeta2	black	2	21	10.809308	1
11	random	white	0	19	0.0044870000000000005	-1
11	alphabeta2	black	2	19	10.229654	1
12	random	white	0	24	0.005807999999999999	-1
12	alphabeta2	black	2	24	13.538528000000001	1
13	random	white	0	18	0.0039	-1
13	alphabeta2	black	2	18	10.503677999999997	1
14	random	white	0	9	0.00178	-1
14	alphabeta2	black	2	9	3.4401970000000004	1
15	random	white	0	17	0.0039040000000000004	-1
15	alphabeta2	black	2	17	9.70002	1
16	random	white	0	21	0.005403999999999999	-1
16	alphabeta2	black	2	21	12.630049999999997	1
17	random	white	0	22	0.005352000000000001	-1
17	alphabeta2	black	2	22	13.496049999999997	1
18	random	white	0	24	0.005887	-1
18	alphabeta2	black	2	24	15.555693999999999	1
19	random	white	0	17	0.0040279999999999995	-1
19	alphabeta2	black	2	17	10.614432	1
20	random	white	0	11	0.00229	-1
20	alphabeta2	black	2	11	6.112519	1
21	random	white	0	17	0.00411	-1
21	alphabeta2	black	2	17	9.679473000000002	1
22	random	white	0	23	0.005339999999999999	-1
22	alphabeta2	black	2	23	13.42397	1
23	random	white	0	18	0.004475	-1
23	alphabeta2	black	2	18	12.206767999999997	1
24	random	white	0	37	0.010802000000000003	-1
24	alphabeta2	black	2	37	25.517379	1
25	random	white	0	19	0.00404	-1
25	alphabeta2	black	2	19	8.552946	1
26	random	white	0	29	0.007997	-1
26	alphabeta2	black	2	29	19.453479000000005	1
27	random	white	0	21	0.005311000000000001	-1
27	alphabeta2	black	2	21	13.210693999999998	1
28	random	white	0	31	0.008193	-1
28	alphabeta2	black	2	31	21.209163999999998	1
29	random	white	0	23	0.0054670000000000005	-1
29	alphabeta2	black	2	23	13.077683999999998	1
30	random	white	0	25	0.006377	-1
30	alphabeta2	black	2	25	17.023265000000002	1
31	random	white	0	24	0.006130999999999999	-1
31	alphabeta2	black	2	24	12.458919999999999	1
32	random	white	0	21	0.00492	-1
32	alphabeta2	black	2	21	10.365265	1
