game_number	agent_type	agent_color	agent_depth	agent_num_moves	agent_decision_time	game_result
0	random	white	0	121	0.07327599999999998	0
0	random	black	0	121	0.056781999999999985	0
1	random	white	0	126	0.07992899999999996	0
1	random	black	0	126	0.05576299999999999	0
2	random	white	0	220	0.22036799999999973	0
2	random	black	0	220	0.2154789999999997	0
3	random	white	0	197	0.1644739999999998	0
3	random	black	0	197	0.15065699999999982	0
4	random	white	0	208	0.18556199999999975	0
4	random	black	0	208	0.1885819999999998	0
5	random	white	0	166	0.12119299999999987	0
5	random	black	0	166	0.10472399999999987	0
6	random	white	0	133	0.07682799999999994	0
6	random	black	0	133	0.07380099999999996	0
7	random	white	0	225	0.21331699999999973	0
7	random	black	0	225	0.21044999999999972	0
8	random	white	0	183	0.14166999999999985	0
8	random	black	0	183	0.14561099999999985	0
9	random	white	0	169	0.13238199999999986	0
9	random	black	0	169	0.1271439999999999	0
10	random	white	0	193	0.1644029999999998	0
10	random	black	0	193	0.1960009999999997	0
11	random	white	0	103	0.06083099999999996	0
11	random	black	0	103	0.05784599999999997	0
12	random	white	0	229	0.2816059999999998	0
12	random	black	0	229	0.28414599999999984	0
13	random	white	0	193	0.17780399999999977	0
13	random	black	0	193	0.17856599999999978	0
14	random	white	0	85	0.04411899999999999	1
14	random	black	0	85	0.052819999999999985	-1
15	random	white	0	183	0.1825339999999998	0
15	random	black	0	183	0.24133999999999978	0
16	random	white	0	184	0.14148499999999983	0
16	random	black	0	184	0.13266999999999987	0
17	random	white	0	272	0.308297	0
17	random	black	0	272	0.30013199999999995	0
18	random	white	0	62	0.023936	-1
18	random	black	0	62	0.026207000000000005	1
19	random	white	0	215	0.3929670000000015	0
19	random	black	0	215	0.3453280000000008	0
20	random	white	0	108	0.05136199999999997	0
20	random	black	0	108	0.05981299999999998	0
21	random	white	0	202	0.18892899999999976	0
21	random	black	0	202	0.18519799999999978	0
22	random	white	0	188	0.22831899999999974	0
22	random	black	0	188	0.22840399999999966	0
23	random	white	0	317	0.460615	0
23	random	black	0	317	0.462508	0
24	random	white	0	137	0.07765099999999996	0
24	random	black	0	137	0.08787599999999993	0
25	random	white	0	227	0.2731989999999998	0
25	random	black	0	227	0.26430799999999965	0
26	random	white	0	215	0.23085099999999972	0
26	random	black	0	215	0.22219999999999973	0
27	random	white	0	165	0.1086619999999999	0
27	random	black	0	165	0.1099979999999999	0
28	random	white	0	160	0.11356199999999987	0
28	random	black	0	160	0.10183299999999991	0
29	random	white	0	232	0.22301999999999972	0
29	random	black	0	232	0.22353099999999976	0
30	random	white	0	173	0.1386289999999998	0
30	random	black	0	173	0.13472299999999987	0
31	random	white	0	196	0.15867599999999982	0
31	random	black	0	196	0.1734979999999998	0
32	random	white	0	189	0.14896499999999982	0
32	random	black	0	189	0.16394699999999984	0
33	random	white	0	130	0.06479999999999995	0
33	random	black	0	130	0.08779499999999991	0
34	random	white	0	163	0.13961999999999983	0
34	random	black	0	163	0.11570199999999987	0
35	random	white	0	190	0.1615689999999998	0
35	random	black	0	190	0.1645619999999998	0
36	random	white	0	177	0.13082899999999986	0
36	random	black	0	177	0.12254499999999988	0
37	random	white	0	126	0.07078799999999995	0
37	random	black	0	126	0.06849699999999996	0
38	random	white	0	178	0.14023699999999983	0
38	random	black	0	178	0.14958599999999983	0
39	random	white	0	41	0.012946000000000001	1
39	random	black	0	41	0.011984999999999999	-1
40	random	white	0	213	0.29824699999999976	0
40	random	black	0	213	0.2921009999999999	0
41	random	white	0	140	0.10171699999999993	0
41	random	black	0	140	0.11569699999999988	0
42	random	white	0	100	0.04686599999999998	-1
42	random	black	0	100	0.05639599999999997	1
43	random	white	0	207	0.18587499999999973	1
43	random	black	0	207	0.16553599999999985	-1
44	random	white	0	158	0.10772899999999992	1
44	random	black	0	158	0.09379599999999992	-1
45	random	white	0	322	0.49716500000000025	0
45	random	black	0	322	0.503086	0
46	random	white	0	200	0.19346299999999972	0
46	random	black	0	200	0.20429699999999976	0
47	random	white	0	128	0.08878399999999993	0
47	random	black	0	128	0.09175799999999992	0
48	random	white	0	208	0.1714839999999998	0
48	random	black	0	208	0.1715259999999998	0
49	random	white	0	163	0.10471999999999992	0
49	random	black	0	163	0.11062199999999989	0
50	random	white	0	119	0.06285199999999996	0
50	random	black	0	119	0.058802999999999966	0
51	random	white	0	165	0.13172199999999987	0
51	random	black	0	165	0.14445999999999984	0
52	random	white	0	83	0.030897999999999995	-1
52	random	black	0	83	0.03984	1
53	random	white	0	231	0.27133999999999986	0
53	random	black	0	231	0.2782519999999998	0
54	random	white	0	197	0.1734149999999998	0
54	random	black	0	197	0.1576719999999998	0
55	random	white	0	150	0.08386699999999993	0
55	random	black	0	150	0.1056269999999999	0
56	random	white	0	121	0.061830999999999955	0
56	random	black	0	121	0.06480299999999996	0
57	random	white	0	166	0.11967999999999984	0
57	random	black	0	166	0.11968199999999989	0
58	random	white	0	147	0.09063699999999994	0
58	random	black	0	147	0.09090099999999993	0
59	random	white	0	252	0.27223999999999987	0
59	random	black	0	252	0.2524019999999997	0
60	random	white	0	219	0.2428929999999997	0
60	random	black	0	219	0.2392139999999997	0
61	random	white	0	73	0.024967	1
61	random	black	0	73	0.03185199999999999	-1
62	random	white	0	159	0.12163799999999986	0
62	random	black	0	159	0.11365199999999985	0
63	random	white	0	317	0.4374760000000002	0
63	random	black	0	317	0.44038800000000006	0
64	random	white	0	84	0.04355599999999999	-1
64	random	black	0	84	0.04288699999999999	1
65	random	white	0	182	0.1496029999999998	0
65	random	black	0	182	0.15907699999999977	0
66	random	white	0	171	0.1037219999999999	0
66	random	black	0	171	0.11372599999999987	0
67	random	white	0	277	0.31424900000000017	0
67	random	black	0	277	0.2971069999999999	0
68	random	white	0	127	0.07600499999999998	1
68	random	black	0	127	0.06478899999999997	-1
69	random	white	0	195	0.18981199999999976	1
69	random	black	0	195	0.17671999999999977	-1
70	random	white	0	191	0.20626499999999975	0
70	random	black	0	191	0.18464799999999976	0
71	random	white	0	205	0.16940299999999978	0
71	random	black	0	205	0.17813999999999974	0
72	random	white	0	156	0.15014899999999984	0
72	random	black	0	156	0.14657399999999984	0
73	random	white	0	169	0.12717199999999987	0
73	random	black	0	169	0.12458299999999983	0
74	random	white	0	262	0.33619999999999983	0
74	random	black	0	262	0.34491799999999984	0
75	random	white	0	78	0.033435	-1
75	random	black	0	78	0.031925999999999996	1
76	random	white	0	230	0.2636019999999997	0
76	random	black	0	230	0.28673899999999986	0
77	random	white	0	273	0.3252479999999997	0
77	random	black	0	273	0.3088629999999997	0
78	random	white	0	201	0.19345799999999974	0
78	random	black	0	201	0.18758199999999975	0
79	random	white	0	246	0.27565099999999976	0
79	random	black	0	246	0.3054169999999997	0
80	random	white	0	205	0.22436799999999968	0
80	random	black	0	205	0.2382539999999997	0
81	random	white	0	166	0.09738599999999994	0
81	random	black	0	166	0.11673299999999988	0
82	random	white	0	181	0.12981999999999985	0
82	random	black	0	181	0.1475329999999998	0
83	random	white	0	151	0.0987339999999999	0
83	random	black	0	151	0.09369699999999992	0
84	random	white	0	257	0.28470199999999984	0
84	random	black	0	257	0.28122099999999983	0
85	random	white	0	137	0.09616099999999991	0
85	random	black	0	137	0.09873399999999992	0
86	random	white	0	279	0.3932829999999999	0
86	random	black	0	279	0.3940300000000001	0
87	random	white	0	74	0.034862000000000004	1
87	random	black	0	74	0.023975000000000003	-1
88	random	white	0	223	0.21601799999999974	0
88	random	black	0	223	0.21934899999999974	0
89	random	white	0	166	0.10681399999999991	0
89	random	black	0	166	0.11558899999999993	0
90	random	white	0	144	0.08625499999999996	1
90	random	black	0	144	0.08071099999999996	-1
91	random	white	0	287	0.378616	0
91	random	black	0	287	0.3779010000000001	0
92	random	white	0	232	0.2415419999999997	0
92	random	black	0	232	0.2431469999999997	0
93	random	white	0	197	0.17009999999999978	0
93	random	black	0	197	0.1589859999999998	0
94	random	white	0	136	0.07675799999999992	0
94	random	black	0	136	0.08081499999999994	0
95	random	white	0	159	0.10565499999999992	0
95	random	black	0	159	0.11574999999999987	0
96	random	white	0	197	0.1661259999999998	0
96	random	black	0	197	0.1793769999999998	0
97	random	white	0	229	0.2761259999999997	0
97	random	black	0	229	0.25615399999999966	0
98	random	white	0	10	0.0	-1
98	random	black	0	10	0.003989	1
99	random	white	0	191	0.15761899999999981	0
99	random	black	0	191	0.14649699999999982	0
