game_number, agent_type, agent_color, agent_decision_time
0, _alpha_beta, _white_, _0.19128199999999995
0, _alpha_beta_avl, _black_, _0.41841799999999985
1, _alpha_beta, _white_, _0.4501050000000001
1, _alpha_beta_avl, _black_, _0.32582700000000014
2, _alpha_beta, _white_, _0.49371100000000023
2, _alpha_beta_avl, _black_, _0.3390500000000002
3, _alpha_beta, _white_, _0.3295490000000003
3, _alpha_beta_avl, _black_, _0.34920200000000023
4, _alpha_beta, _white_, _0.049337
4, _alpha_beta_avl, _black_, _0.045881
5, _alpha_beta, _white_, _0.34920700000000005
5, _alpha_beta_avl, _black_, _0.3746970000000003
6, _alpha_beta, _white_, _0.3412650000000003
6, _alpha_beta_avl, _black_, _0.40513500000000013
7, _alpha_beta, _white_, _0.3111850000000001
7, _alpha_beta_avl, _black_, _0.33287200000000006
8, _alpha_beta, _white_, _0.19252799999999995
8, _alpha_beta_avl, _black_, _0.32329499999999983
9, _alpha_beta, _white_, _0.4554319999999999
9, _alpha_beta_avl, _black_, _0.3062340000000002
10, _alpha_beta, _white_, _0.19697499999999998
10, _alpha_beta_avl, _black_, _0.36165
11, _alpha_beta, _white_, _0.3937910000000003
11, _alpha_beta_avl, _black_, _0.3837130000000007
12, _alpha_beta, _white_, _0.4058430000000008
12, _alpha_beta_avl, _black_, _0.3825470000000008
13, _alpha_beta, _white_, _0.3310590000000002
13, _alpha_beta_avl, _black_, _0.3427210000000002
14, _alpha_beta, _white_, _0.4418050000000004
14, _alpha_beta_avl, _black_, _0.2782740000000002
15, _alpha_beta, _white_, _0.35258800000000035
15, _alpha_beta_avl, _black_, _0.3820530000000005
16, _alpha_beta, _white_, _0.3575510000000002
16, _alpha_beta_avl, _black_, _0.4070770000000005
17, _alpha_beta, _white_, _0.46768800000000027
17, _alpha_beta_avl, _black_, _0.3739720000000007
18, _alpha_beta, _white_, _0.48493600000000014
18, _alpha_beta_avl, _black_, _0.30641100000000027
19, _alpha_beta, _white_, _0.3070550000000003
19, _alpha_beta_avl, _black_, _0.45126900000000025
20, _alpha_beta, _white_, _0.6143990000000003
20, _alpha_beta_avl, _black_, _0.4908070000000004
21, _alpha_beta, _white_, _0.38374100000000017
21, _alpha_beta_avl, _black_, _0.35563200000000034
22, _alpha_beta, _white_, _0.273772
22, _alpha_beta_avl, _black_, _0.38325700000000007
23, _alpha_beta, _white_, _0.38687300000000063
23, _alpha_beta_avl, _black_, _0.3767910000000004
24, _alpha_beta, _white_, _0.2433269999999999
24, _alpha_beta_avl, _black_, _0.361108
25, _alpha_beta, _white_, _0.3559419999999999
25, _alpha_beta_avl, _black_, _0.25439799999999985
26, _alpha_beta, _white_, _0.4415960000000001
26, _alpha_beta_avl, _black_, _0.32103500000000024
27, _alpha_beta, _white_, _0.31666800000000045
27, _alpha_beta_avl, _black_, _0.5454410000000006
28, _alpha_beta, _white_, _0.5953830000000004
28, _alpha_beta_avl, _black_, _0.3047120000000003
29, _alpha_beta, _white_, _0.45124600000000004
29, _alpha_beta_avl, _black_, _0.28015900000000005
30, _alpha_beta, _white_, _0.405985
30, _alpha_beta_avl, _black_, _0.20461699999999983
31, _alpha_beta, _white_, _0.3054930000000004
31, _alpha_beta_avl, _black_, _0.419507
32, _alpha_beta, _white_, _0.2397079999999999
32, _alpha_beta_avl, _black_, _0.6232040000000001
33, _alpha_beta, _white_, _0.17850099999999988
33, _alpha_beta_avl, _black_, _0.43324499999999994
34, _alpha_beta, _white_, _0.283575
34, _alpha_beta_avl, _black_, _0.23428299999999988
35, _alpha_beta, _white_, _0.4847380000000002
35, _alpha_beta_avl, _black_, _0.2917470000000003
36, _alpha_beta, _white_, _0.24064100000000005
36, _alpha_beta_avl, _black_, _0.247228
37, _alpha_beta, _white_, _0.5266280000000007
37, _alpha_beta_avl, _black_, _0.40965100000000104
38, _alpha_beta, _white_, _0.21411599999999995
38, _alpha_beta_avl, _black_, _0.3197120000000001
39, _alpha_beta, _white_, _0.3378020000000001
39, _alpha_beta_avl, _black_, _0.3619450000000002
40, _alpha_beta, _white_, _0.3155220000000002
40, _alpha_beta_avl, _black_, _0.31090100000000026
41, _alpha_beta, _white_, _0.4701500000000005
41, _alpha_beta_avl, _black_, _0.3271920000000002
42, _alpha_beta, _white_, _0.3974920000000002
42, _alpha_beta_avl, _black_, _0.34187800000000035
43, _alpha_beta, _white_, _0.23520000000000005
43, _alpha_beta_avl, _black_, _0.15910699999999994
44, _alpha_beta, _white_, _0.47463200000000044
44, _alpha_beta_avl, _black_, _0.37350400000000045
45, _alpha_beta, _white_, _0.2576749999999999
45, _alpha_beta_avl, _black_, _0.31344600000000006
46, _alpha_beta, _white_, _0.34810500000000033
46, _alpha_beta_avl, _black_, _0.24298599999999984
47, _alpha_beta, _white_, _0.411887
47, _alpha_beta_avl, _black_, _0.18750999999999995
48, _alpha_beta, _white_, _0.3803730000000003
48, _alpha_beta_avl, _black_, _0.34433900000000023
49, _alpha_beta, _white_, _0.20170999999999986
49, _alpha_beta_avl, _black_, _0.3018109999999999
50, _alpha_beta, _white_, _0.46386600000000056
50, _alpha_beta_avl, _black_, _0.6327870000000007
51, _alpha_beta, _white_, _0.32310900000000015
51, _alpha_beta_avl, _black_, _0.333281
52, _alpha_beta, _white_, _0.36752800000000024
52, _alpha_beta_avl, _black_, _0.5931570000000002
53, _alpha_beta, _white_, _0.5106620000000006
53, _alpha_beta_avl, _black_, _0.3840520000000004
54, _alpha_beta, _white_, _0.45130000000000003
54, _alpha_beta_avl, _black_, _0.27005800000000035
55, _alpha_beta, _white_, _0.6267530000000007
55, _alpha_beta_avl, _black_, _0.5723770000000015
56, _alpha_beta, _white_, _0.43757900000000066
56, _alpha_beta_avl, _black_, _0.3692970000000001
57, _alpha_beta, _white_, _0.33405800000000024
57, _alpha_beta_avl, _black_, _0.3459299999999998
58, _alpha_beta, _white_, _0.24988099999999996
58, _alpha_beta_avl, _black_, _0.36202
59, _alpha_beta, _white_, _0.527579
59, _alpha_beta_avl, _black_, _0.20368999999999987
60, _alpha_beta, _white_, _0.305648
60, _alpha_beta_avl, _black_, _0.3059100000000001
61, _alpha_beta, _white_, _0.3226180000000004
61, _alpha_beta_avl, _black_, _0.30576
62, _alpha_beta, _white_, _0.6002210000000006
62, _alpha_beta_avl, _black_, _0.32427100000000053
63, _alpha_beta, _white_, _0.3707610000000005
63, _alpha_beta_avl, _black_, _0.2813140000000001
64, _alpha_beta, _white_, _0.3772440000000002
64, _alpha_beta_avl, _black_, _0.42093900000000023
65, _alpha_beta, _white_, _0.4950880000000008
65, _alpha_beta_avl, _black_, _0.4538010000000008
66, _alpha_beta, _white_, _0.23444799999999996
66, _alpha_beta_avl, _black_, _0.25723700000000005
67, _alpha_beta, _white_, _0.37972499999999987
67, _alpha_beta_avl, _black_, _0.3767680000000001
68, _alpha_beta, _white_, _0.2816740000000001
68, _alpha_beta_avl, _black_, _0.13455599999999995
69, _alpha_beta, _white_, _0.30315100000000006
69, _alpha_beta_avl, _black_, _0.4019690000000002
70, _alpha_beta, _white_, _0.293227
70, _alpha_beta_avl, _black_, _0.22735199999999994
71, _alpha_beta, _white_, _0.3884809999999999
71, _alpha_beta_avl, _black_, _0.24958599999999984
72, _alpha_beta, _white_, _0.2794100000000002
72, _alpha_beta_avl, _black_, _0.26832399999999995
73, _alpha_beta, _white_, _0.29950600000000016
73, _alpha_beta_avl, _black_, _0.3990740000000005
74, _alpha_beta, _white_, _0.38189500000000004
74, _alpha_beta_avl, _black_, _0.22246199999999985
75, _alpha_beta, _white_, _0.425509
75, _alpha_beta_avl, _black_, _0.27604700000000004
76, _alpha_beta, _white_, _0.22839
76, _alpha_beta_avl, _black_, _0.05684899999999999
77, _alpha_beta, _white_, _0.4334889999999999
77, _alpha_beta_avl, _black_, _0.26198799999999994
78, _alpha_beta, _white_, _0.32919900000000024
78, _alpha_beta_avl, _black_, _0.2202759999999999
79, _alpha_beta, _white_, _0.5069150000000002
79, _alpha_beta_avl, _black_, _0.5562150000000007
80, _alpha_beta, _white_, _0.23341299999999987
80, _alpha_beta_avl, _black_, _0.26171199999999994
81, _alpha_beta, _white_, _0.10273900000000001
81, _alpha_beta_avl, _black_, _0.17449499999999993
82, _alpha_beta, _white_, _0.38505600000000023
82, _alpha_beta_avl, _black_, _0.3559460000000002
83, _alpha_beta, _white_, _0.4835410000000002
83, _alpha_beta_avl, _black_, _0.4144730000000006
84, _alpha_beta, _white_, _0.2273589999999998
84, _alpha_beta_avl, _black_, _0.4229060000000002
85, _alpha_beta, _white_, _0.30124199999999995
85, _alpha_beta_avl, _black_, _0.39891000000000043
86, _alpha_beta, _white_, _0.3872040000000005
86, _alpha_beta_avl, _black_, _0.3335170000000003
87, _alpha_beta, _white_, _0.49773600000000046
87, _alpha_beta_avl, _black_, _0.2653709999999999
88, _alpha_beta, _white_, _0.6074520000000001
88, _alpha_beta_avl, _black_, _0.5528980000000008
89, _alpha_beta, _white_, _0.2504269999999999
89, _alpha_beta_avl, _black_, _0.3571640000000001
90, _alpha_beta, _white_, _0.46052499999999985
