game_number, agent_type, agent_color, agent_decision_time
0, _alpha_beta, _white_, _0.29290800000000006
0, _alpha_beta_hash, _black_, _0.24682299999999996
1, _alpha_beta, _white_, _0.20104699999999998
1, _alpha_beta_hash, _black_, _0.208922
2, _alpha_beta, _white_, _0.29729000000000005
2, _alpha_beta_hash, _black_, _0.58943
3, _alpha_beta, _white_, _0.32849700000000015
3, _alpha_beta_hash, _black_, _0.33577100000000004
4, _alpha_beta, _white_, _0.2916670000000001
4, _alpha_beta_hash, _black_, _0.28850600000000004
5, _alpha_beta, _white_, _0.385905
5, _alpha_beta_hash, _black_, _0.22144399999999997
6, _alpha_beta, _white_, _0.16051199999999993
6, _alpha_beta_hash, _black_, _0.38406099999999993
7, _alpha_beta, _white_, _0.2503139999999999
7, _alpha_beta_hash, _black_, _0.34005199999999997
8, _alpha_beta, _white_, _0.11064800000000001
8, _alpha_beta_hash, _black_, _0.17461600000000002
9, _alpha_beta, _white_, _0.2612779999999998
9, _alpha_beta_hash, _black_, _0.3670360000000003
10, _alpha_beta, _white_, _0.25930699999999995
10, _alpha_beta_hash, _black_, _0.296184
11, _alpha_beta, _white_, _0.6473199999999999
11, _alpha_beta_hash, _black_, _0.19920599999999986
12, _alpha_beta, _white_, _0.28878100000000007
12, _alpha_beta_hash, _black_, _0.294022
13, _alpha_beta, _white_, _0.11465399999999996
13, _alpha_beta_hash, _black_, _0.22848100000000005
14, _alpha_beta, _white_, _0.25635699999999984
14, _alpha_beta_hash, _black_, _0.32007400000000025
15, _alpha_beta, _white_, _0.4956619999999998
15, _alpha_beta_hash, _black_, _0.21543699999999985
16, _alpha_beta, _white_, _0.26378199999999985
16, _alpha_beta_hash, _black_, _0.2359859999999999
17, _alpha_beta, _white_, _0.4250490000000008
17, _alpha_beta_hash, _black_, _0.4737980000000004
18, _alpha_beta, _white_, _0.1494919999999999
18, _alpha_beta_hash, _black_, _0.35396199999999983
19, _alpha_beta, _white_, _0.4918000000000001
19, _alpha_beta_hash, _black_, _0.22289699999999993
20, _alpha_beta, _white_, _0.32642199999999993
20, _alpha_beta_hash, _black_, _0.27338399999999996
21, _alpha_beta, _white_, _0.25584899999999994
21, _alpha_beta_hash, _black_, _0.29315200000000013
22, _alpha_beta, _white_, _0.19101099999999993
22, _alpha_beta_hash, _black_, _0.342595
23, _alpha_beta, _white_, _0.4377760000000003
23, _alpha_beta_hash, _black_, _0.3751580000000005
24, _alpha_beta, _white_, _0.23924899999999982
24, _alpha_beta_hash, _black_, _0.25734
25, _alpha_beta, _white_, _0.3910970000000002
25, _alpha_beta_hash, _black_, _0.20927199999999985
26, _alpha_beta, _white_, _0.21845299999999984
26, _alpha_beta_hash, _black_, _0.3629330000000003
27, _alpha_beta, _white_, _0.40693000000000046
27, _alpha_beta_hash, _black_, _0.4239350000000005
28, _alpha_beta, _white_, _0.32984099999999994
28, _alpha_beta_hash, _black_, _0.28751199999999993
29, _alpha_beta, _white_, _0.4691300000000004
29, _alpha_beta_hash, _black_, _0.21075599999999986
30, _alpha_beta, _white_, _0.08973299999999998
