game_number, agent_type, agent_color, agent_decision_time
0, _alpha_beta, _white_, _0.19457799999999995
0, _alpha_beta_rb, _black_, _0.3310140000000001
1, _alpha_beta, _white_, _0.5919780000000002
1, _alpha_beta_rb, _black_, _0.577521000000001
2, _alpha_beta, _white_, _0.28721800000000014
2, _alpha_beta_rb, _black_, _0.3896970000000003
3, _alpha_beta, _white_, _0.36360499999999996
3, _alpha_beta_rb, _black_, _0.2631679999999999
4, _alpha_beta, _white_, _0.42596200000000023
4, _alpha_beta_rb, _black_, _0.3912570000000006
5, _alpha_beta, _white_, _0.2782950000000001
5, _alpha_beta_rb, _black_, _0.43280600000000025
6, _alpha_beta, _white_, _0.399593
6, _alpha_beta_rb, _black_, _0.1846829999999999
7, _alpha_beta, _white_, _0.3619200000000002
7, _alpha_beta_rb, _black_, _0.3378930000000006
8, _alpha_beta, _white_, _0.22341799999999984
8, _alpha_beta_rb, _black_, _0.365518
9, _alpha_beta, _white_, _0.3945120000000005
9, _alpha_beta_rb, _black_, _0.3747990000000006
10, _alpha_beta, _white_, _0.3968900000000003
10, _alpha_beta_rb, _black_, _0.5052160000000004
11, _alpha_beta, _white_, _0.21144999999999986
11, _alpha_beta_rb, _black_, _0.36183900000000013
12, _alpha_beta, _white_, _0.3601270000000003
12, _alpha_beta_rb, _black_, _0.36998000000000014
13, _alpha_beta, _white_, _0.3361219999999999
13, _alpha_beta_rb, _black_, _0.44279200000000046
14, _alpha_beta, _white_, _0.217005
14, _alpha_beta_rb, _black_, _0.18673299999999998
15, _alpha_beta, _white_, _0.31590500000000005
15, _alpha_beta_rb, _black_, _0.1727509999999999
16, _alpha_beta, _white_, _0.08126699999999999
16, _alpha_beta_rb, _black_, _0.151703
17, _alpha_beta, _white_, _0.3514270000000005
17, _alpha_beta_rb, _black_, _0.47256900000000035
18, _alpha_beta, _white_, _0.39931300000000036
18, _alpha_beta_rb, _black_, _0.4197960000000004
19, _alpha_beta, _white_, _0.4258750000000004
19, _alpha_beta_rb, _black_, _0.3472250000000003
20, _alpha_beta, _white_, _0.09796300000000001
20, _alpha_beta_rb, _black_, _0.09925700000000001
21, _alpha_beta, _white_, _0.32894300000000004
21, _alpha_beta_rb, _black_, _0.2779400000000002
22, _alpha_beta, _white_, _0.5026130000000001
22, _alpha_beta_rb, _black_, _0.34010400000000024
23, _alpha_beta, _white_, _0.21944199999999986
23, _alpha_beta_rb, _black_, _0.23733699999999985
24, _alpha_beta, _white_, _0.3695050000000002
24, _alpha_beta_rb, _black_, _0.37108100000000016
25, _alpha_beta, _white_, _0.17479999999999998
25, _alpha_beta_rb, _black_, _0.20034500000000002
26, _alpha_beta, _white_, _0.27975599999999995
26, _alpha_beta_rb, _black_, _0.24908799999999992
27, _alpha_beta, _white_, _0.28407099999999996
27, _alpha_beta_rb, _black_, _0.32337100000000013
28, _alpha_beta, _white_, _0.319153
28, _alpha_beta_rb, _black_, _0.43558200000000025
29, _alpha_beta, _white_, _0.15015299999999998
29, _alpha_beta_rb, _black_, _0.27280600000000016
30, _alpha_beta, _white_, _0.184502
30, _alpha_beta_rb, _black_, _0.2344
31, _alpha_beta, _white_, _0.17355199999999998
31, _alpha_beta_rb, _black_, _0.03985899999999999
32, _alpha_beta, _white_, _0.4069160000000002
32, _alpha_beta_rb, _black_, _0.43153200000000036
33, _alpha_beta, _white_, _0.3710120000000001
33, _alpha_beta_rb, _black_, _0.2655500000000002
34, _alpha_beta, _white_, _0.20345799999999994
34, _alpha_beta_rb, _black_, _0.29343699999999995
35, _alpha_beta, _white_, _0.24827000000000005
35, _alpha_beta_rb, _black_, _0.3079860000000001
36, _alpha_beta, _white_, _0.37007
36, _alpha_beta_rb, _black_, _0.42447200000000046
37, _alpha_beta, _white_, _0.37028900000000053
37, _alpha_beta_rb, _black_, _0.5462160000000007
38, _alpha_beta, _white_, _0.30234800000000006
38, _alpha_beta_rb, _black_, _0.35666000000000037
39, _alpha_beta, _white_, _0.16852
39, _alpha_beta_rb, _black_, _0.23540000000000003
40, _alpha_beta, _white_, _0.23983599999999983
40, _alpha_beta_rb, _black_, _0.2396039999999999
41, _alpha_beta, _white_, _0.060823999999999996
41, _alpha_beta_rb, _black_, _0.049853
42, _alpha_beta, _white_, _0.39369200000000043
42, _alpha_beta_rb, _black_, _0.320262
43, _alpha_beta, _white_, _0.34210300000000005
43, _alpha_beta_rb, _black_, _0.18735999999999992
44, _alpha_beta, _white_, _0.42081800000000014
44, _alpha_beta_rb, _black_, _0.3738720000000002
45, _alpha_beta, _white_, _0.2903080000000001
45, _alpha_beta_rb, _black_, _0.5559620000000004
46, _alpha_beta, _white_, _0.26567599999999986
46, _alpha_beta_rb, _black_, _0.48782900000000023
47, _alpha_beta, _white_, _0.32108800000000026
47, _alpha_beta_rb, _black_, _0.4351440000000003
48, _alpha_beta, _white_, _0.3548710000000001
48, _alpha_beta_rb, _black_, _0.25097699999999995
49, _alpha_beta, _white_, _0.29120799999999986
49, _alpha_beta_rb, _black_, _0.2438429999999998
50, _alpha_beta, _white_, _0.44457699999999994
50, _alpha_beta_rb, _black_, _0.26141299999999995
51, _alpha_beta, _white_, _0.3847130000000002
51, _alpha_beta_rb, _black_, _0.4054410000000003
52, _alpha_beta, _white_, _0.2868280000000002
52, _alpha_beta_rb, _black_, _0.22717899999999985
53, _alpha_beta, _white_, _0.279204
53, _alpha_beta_rb, _black_, _0.16760699999999998
54, _alpha_beta, _white_, _0.5302540000000002
54, _alpha_beta_rb, _black_, _0.5079700000000001
55, _alpha_beta, _white_, _0.04189
55, _alpha_beta_rb, _black_, _0.019946
56, _alpha_beta, _white_, _0.3241130000000004
56, _alpha_beta_rb, _black_, _0.3999230000000001
57, _alpha_beta, _white_, _0.34859999999999997
57, _alpha_beta_rb, _black_, _0.38593600000000045
58, _alpha_beta, _white_, _0.3346070000000002
58, _alpha_beta_rb, _black_, _0.3039810000000004
59, _alpha_beta, _white_, _0.6466060000000003
59, _alpha_beta_rb, _black_, _0.2678670000000001
60, _alpha_beta, _white_, _0.34701699999999963
60, _alpha_beta_rb, _black_, _0.26332800000000006
61, _alpha_beta, _white_, _0.29769500000000015
61, _alpha_beta_rb, _black_, _0.28224400000000016
62, _alpha_beta, _white_, _0.27422899999999983
62, _alpha_beta_rb, _black_, _0.3261280000000001
63, _alpha_beta, _white_, _0.353093
63, _alpha_beta_rb, _black_, _0.17301699999999992
64, _alpha_beta, _white_, _0.28158099999999997
64, _alpha_beta_rb, _black_, _0.35486600000000035
65, _alpha_beta, _white_, _0.324411
65, _alpha_beta_rb, _black_, _0.32138800000000045
66, _alpha_beta, _white_, _0.034908999999999996
66, _alpha_beta_rb, _black_, _0.028922
67, _alpha_beta, _white_, _0.2460249999999999
67, _alpha_beta_rb, _black_, _0.3466000000000001
68, _alpha_beta, _white_, _0.5577120000000003
68, _alpha_beta_rb, _black_, _0.5325950000000005
69, _alpha_beta, _white_, _0.29221400000000003
69, _alpha_beta_rb, _black_, _0.2353439999999999
70, _alpha_beta, _white_, _0.08878599999999999
70, _alpha_beta_rb, _black_, _0.089764
71, _alpha_beta, _white_, _0.39592200000000044
71, _alpha_beta_rb, _black_, _0.47927000000000036
72, _alpha_beta, _white_, _0.24486499999999997
72, _alpha_beta_rb, _black_, _0.289212
73, _alpha_beta, _white_, _0.27623600000000004
73, _alpha_beta_rb, _black_, _0.2034819999999999
74, _alpha_beta, _white_, _0.30761900000000036
74, _alpha_beta_rb, _black_, _0.20958699999999988
75, _alpha_beta, _white_, _0.2174349999999999
75, _alpha_beta_rb, _black_, _0.4264389999999999
76, _alpha_beta, _white_, _0.45255300000000004
76, _alpha_beta_rb, _black_, _0.20236899999999994
77, _alpha_beta, _white_, _0.49111000000000055
77, _alpha_beta_rb, _black_, _0.5032180000000005
78, _alpha_beta, _white_, _0.311098
