game_number, agent_type, agent_color, agent_decision_time
0, _alpha_beta, _white_, _0.334634
0, _alpha_beta_splay, _black_, _0.2453209999999999
1, _alpha_beta, _white_, _0.31612100000000015
1, _alpha_beta_splay, _black_, _0.35714900000000044
2, _alpha_beta, _white_, _0.34085499999999996
2, _alpha_beta_splay, _black_, _0.3872260000000002
3, _alpha_beta, _white_, _0.303129
3, _alpha_beta_splay, _black_, _0.21146199999999993
4, _alpha_beta, _white_, _0.38545700000000066
4, _alpha_beta_splay, _black_, _0.4099860000000007
5, _alpha_beta, _white_, _0.6023100000000005
5, _alpha_beta_splay, _black_, _0.3032680000000005
6, _alpha_beta, _white_, _0.3419810000000004
6, _alpha_beta_splay, _black_, _0.39507200000000003
7, _alpha_beta, _white_, _0.10072800000000001
7, _alpha_beta_splay, _black_, _0.142621
8, _alpha_beta, _white_, _0.333174
8, _alpha_beta_splay, _black_, _0.5664200000000003
9, _alpha_beta, _white_, _0.040914
9, _alpha_beta_splay, _black_, _0.047848
10, _alpha_beta, _white_, _0.2962320000000001
10, _alpha_beta_splay, _black_, _0.17603999999999997
11, _alpha_beta, _white_, _0.35663500000000015
11, _alpha_beta_splay, _black_, _0.32014100000000034
12, _alpha_beta, _white_, _0.102608
12, _alpha_beta_splay, _black_, _0.12668800000000002
13, _alpha_beta, _white_, _0.5625780000000005
13, _alpha_beta_splay, _black_, _0.27430100000000013
14, _alpha_beta, _white_, _0.42713800000000035
14, _alpha_beta_splay, _black_, _0.46974000000000077
15, _alpha_beta, _white_, _0.2872249999999999
15, _alpha_beta_splay, _black_, _0.22637699999999994
16, _alpha_beta, _white_, _0.21646699999999996
16, _alpha_beta_splay, _black_, _0.238447
17, _alpha_beta, _white_, _0.25031999999999993
17, _alpha_beta_splay, _black_, _0.45078000000000007
18, _alpha_beta, _white_, _0.5146599999999999
18, _alpha_beta_splay, _black_, _0.41040200000000054
19, _alpha_beta, _white_, _0.3889790000000003
19, _alpha_beta_splay, _black_, _0.3629870000000004
20, _alpha_beta, _white_, _0.27424899999999997
20, _alpha_beta_splay, _black_, _0.3211940000000001
21, _alpha_beta, _white_, _0.15658699999999995
21, _alpha_beta_splay, _black_, _0.30624099999999993
22, _alpha_beta, _white_, _0.2526969999999999
22, _alpha_beta_splay, _black_, _0.47334600000000016
23, _alpha_beta, _white_, _0.278581
23, _alpha_beta_splay, _black_, _0.3523180000000001
24, _alpha_beta, _white_, _0.26109799999999983
24, _alpha_beta_splay, _black_, _0.25671900000000003
25, _alpha_beta, _white_, _0.050182
25, _alpha_beta_splay, _black_, _0.050844
26, _alpha_beta, _white_, _0.31914600000000004
26, _alpha_beta_splay, _black_, _0.1880009999999999
27, _alpha_beta, _white_, _0.35231900000000066
27, _alpha_beta_splay, _black_, _0.41611800000000015
28, _alpha_beta, _white_, _0.2412869999999999
28, _alpha_beta_splay, _black_, _0.22267699999999996
29, _alpha_beta, _white_, _0.19054899999999994
29, _alpha_beta_splay, _black_, _0.24713800000000005
30, _alpha_beta, _white_, _0.7146700000000001
30, _alpha_beta_splay, _black_, _0.27623000000000014
31, _alpha_beta, _white_, _0.4177700000000008
31, _alpha_beta_splay, _black_, _0.41101200000000004
32, _alpha_beta, _white_, _0.2951669999999999
32, _alpha_beta_splay, _black_, _0.31018600000000013
33, _alpha_beta, _white_, _0.45016300000000026
33, _alpha_beta_splay, _black_, _0.336291
34, _alpha_beta, _white_, _0.32504600000000017
34, _alpha_beta_splay, _black_, _0.38408600000000015
35, _alpha_beta, _white_, _0.235293
35, _alpha_beta_splay, _black_, _0.266336
36, _alpha_beta, _white_, _0.4628160000000003
36, _alpha_beta_splay, _black_, _0.291225
37, _alpha_beta, _white_, _0.19051000000000004
37, _alpha_beta_splay, _black_, _0.19847800000000004
38, _alpha_beta, _white_, _0.22237100000000004
38, _alpha_beta_splay, _black_, _0.22438299999999992
39, _alpha_beta, _white_, _0.4787990000000006
39, _alpha_beta_splay, _black_, _0.4020070000000005
40, _alpha_beta, _white_, _0.597468
