game_number, agent_type, agent_color, agent_decision_time
0, _alpha_beta, _white_, _0.36191199999999996
0, _alpha_beta_trie, _black_, _0.4930280000000003
1, _alpha_beta, _white_, _0.320518
1, _alpha_beta_trie, _black_, _0.11335899999999999
2, _alpha_beta, _white_, _0.38066400000000034
2, _alpha_beta_trie, _black_, _0.43547300000000044
3, _alpha_beta, _white_, _0.27374099999999996
3, _alpha_beta_trie, _black_, _0.4279240000000002
4, _alpha_beta, _white_, _0.413892
4, _alpha_beta_trie, _black_, _0.28779300000000013
5, _alpha_beta, _white_, _0.19257399999999988
5, _alpha_beta_trie, _black_, _0.3519390000000001
6, _alpha_beta, _white_, _0.4806170000000002
6, _alpha_beta_trie, _black_, _0.4090340000000003
7, _alpha_beta, _white_, _0.280178
7, _alpha_beta_trie, _black_, _0.3521350000000005
8, _alpha_beta, _white_, _0.40872400000000014
8, _alpha_beta_trie, _black_, _0.6514350000000003
9, _alpha_beta, _white_, _0.21660599999999985
9, _alpha_beta_trie, _black_, _0.3952630000000001
10, _alpha_beta, _white_, _0.2581229999999999
10, _alpha_beta_trie, _black_, _0.3076550000000004
11, _alpha_beta, _white_, _0.218797
11, _alpha_beta_trie, _black_, _0.256712
12, _alpha_beta, _white_, _0.11466400000000002
12, _alpha_beta_trie, _black_, _0.10774099999999999
13, _alpha_beta, _white_, _0.31055100000000024
13, _alpha_beta_trie, _black_, _0.3774740000000003
14, _alpha_beta, _white_, _0.349361
14, _alpha_beta_trie, _black_, _0.32809200000000005
15, _alpha_beta, _white_, _0.104041
15, _alpha_beta_trie, _black_, _0.244595
16, _alpha_beta, _white_, _0.41766000000000075
16, _alpha_beta_trie, _black_, _0.45203400000000077
17, _alpha_beta, _white_, _0.15353999999999995
17, _alpha_beta_trie, _black_, _0.28531400000000007
18, _alpha_beta, _white_, _0.44178700000000026
18, _alpha_beta_trie, _black_, _0.24969599999999986
19, _alpha_beta, _white_, _0.26422199999999996
19, _alpha_beta_trie, _black_, _0.392495
20, _alpha_beta, _white_, _0.353399
20, _alpha_beta_trie, _black_, _0.275636
21, _alpha_beta, _white_, _0.285126
