game_number, agent_type, agent_color, agent_decision_time
0, _minimax, _white_, _0.29524000000000006
0, _minimax_avl, _black_, _0.4298270000000001
1, _minimax, _white_, _0.3282160000000005
1, _minimax_avl, _black_, _0.38892300000000024
2, _minimax, _white_, _0.312089
2, _minimax_avl, _black_, _0.279328
3, _minimax, _white_, _0.40852500000000036
3, _minimax_avl, _black_, _0.31447100000000017
4, _minimax, _white_, _0.12466899999999997
4, _minimax_avl, _black_, _0.19797900000000002
5, _minimax, _white_, _0.36596399999999996
5, _minimax_avl, _black_, _0.3551200000000003
6, _minimax, _white_, _0.3046970000000003
6, _minimax_avl, _black_, _0.3500660000000005
7, _minimax, _white_, _0.42964500000000005
7, _minimax_avl, _black_, _0.3830150000000005
8, _minimax, _white_, _0.3058360000000001
8, _minimax_avl, _black_, _0.20264199999999996
9, _minimax, _white_, _0.25290899999999994
9, _minimax_avl, _black_, _0.2320619999999999
10, _minimax, _white_, _0.2805330000000001
10, _minimax_avl, _black_, _0.30240000000000006
11, _minimax, _white_, _0.21694799999999997
11, _minimax_avl, _black_, _0.26377900000000004
12, _minimax, _white_, _0.30142200000000025
12, _minimax_avl, _black_, _0.35294799999999993
13, _minimax, _white_, _0.20821700000000004
13, _minimax_avl, _black_, _0.111802
14, _minimax, _white_, _0.29947399999999996
14, _minimax_avl, _black_, _0.2297839999999999
15, _minimax, _white_, _0.38227699999999987
15, _minimax_avl, _black_, _0.2735400000000001
16, _minimax, _white_, _0.20194600000000001
16, _minimax_avl, _black_, _0.24014400000000002
17, _minimax, _white_, _0.258438
17, _minimax_avl, _black_, _0.21299599999999994
18, _minimax, _white_, _0.13668199999999991
18, _minimax_avl, _black_, _0.26095
19, _minimax, _white_, _0.2538189999999999
19, _minimax_avl, _black_, _0.396156
20, _minimax, _white_, _0.30475099999999994
20, _minimax_avl, _black_, _0.5094820000000005
21, _minimax, _white_, _0.31899900000000014
21, _minimax_avl, _black_, _0.3535840000000001
22, _minimax, _white_, _0.23664099999999988
22, _minimax_avl, _black_, _0.41486100000000015
23, _minimax, _white_, _0.4255810000000001
23, _minimax_avl, _black_, _0.5348930000000004
24, _minimax, _white_, _0.6024050000000002
24, _minimax_avl, _black_, _0.3735560000000006
25, _minimax, _white_, _0.261786
25, _minimax_avl, _black_, _0.37549400000000016
26, _minimax, _white_, _0.3222070000000002
26, _minimax_avl, _black_, _0.4875650000000002
27, _minimax, _white_, _0.32236600000000015
27, _minimax_avl, _black_, _0.32780400000000004
28, _minimax, _white_, _0.11719099999999999
28, _minimax_avl, _black_, _0.12717
29, _minimax, _white_, _0.30320899999999995
29, _minimax_avl, _black_, _0.261257
30, _minimax, _white_, _0.08875899999999998
30, _minimax_avl, _black_, _0.172543
31, _minimax, _white_, _0.35604600000000014
31, _minimax_avl, _black_, _0.3690500000000003
32, _minimax, _white_, _0.19744899999999993
32, _minimax_avl, _black_, _0.21544800000000006
33, _minimax, _white_, _0.29915299999999995
33, _minimax_avl, _black_, _0.30419600000000036
34, _minimax, _white_, _0.14768099999999992
34, _minimax_avl, _black_, _0.2173410000000001
35, _minimax, _white_, _0.25364500000000006
35, _minimax_avl, _black_, _0.25394800000000006
36, _minimax, _white_, _0.29060399999999986
36, _minimax_avl, _black_, _0.13476400000000002
37, _minimax, _white_, _0.13863399999999998
37, _minimax_avl, _black_, _0.10571199999999997
38, _minimax, _white_, _0.5014820000000002
38, _minimax_avl, _black_, _0.5366450000000005
39, _minimax, _white_, _0.3111020000000002
39, _minimax_avl, _black_, _0.2263149999999999
40, _minimax, _white_, _0.2416209999999999
40, _minimax_avl, _black_, _0.3211400000000002
41, _minimax, _white_, _0.3257400000000004
41, _minimax_avl, _black_, _0.3028800000000004
42, _minimax, _white_, _0.36079300000000025
42, _minimax_avl, _black_, _0.34903500000000004
43, _minimax, _white_, _0.31858600000000015
43, _minimax_avl, _black_, _0.16888999999999996
44, _minimax, _white_, _0.20752199999999996
44, _minimax_avl, _black_, _0.12960399999999997
45, _minimax, _white_, _0.41693500000000017
45, _minimax_avl, _black_, _0.32904400000000006
46, _minimax, _white_, _0.28323500000000007
46, _minimax_avl, _black_, _0.3670589999999999
47, _minimax, _white_, _0.30827800000000033
47, _minimax_avl, _black_, _0.33200300000000027
48, _minimax, _white_, _0.28919900000000004
48, _minimax_avl, _black_, _0.12466799999999996
49, _minimax, _white_, _0.30317300000000025
49, _minimax_avl, _black_, _0.4423700000000003
50, _minimax, _white_, _0.3240770000000003
50, _minimax_avl, _black_, _0.34011900000000017
51, _minimax, _white_, _0.25171899999999986
51, _minimax_avl, _black_, _0.39579900000000023
52, _minimax, _white_, _0.28185500000000013
52, _minimax_avl, _black_, _0.270253
53, _minimax, _white_, _0.023936
53, _minimax_avl, _black_, _0.030944
54, _minimax, _white_, _0.023036
54, _minimax_avl, _black_, _0.038014
55, _minimax, _white_, _0.4586280000000003
55, _minimax_avl, _black_, _0.4067610000000003
56, _minimax, _white_, _0.20393799999999987
56, _minimax_avl, _black_, _0.274793
57, _minimax, _white_, _0.299077
57, _minimax_avl, _black_, _0.20654199999999984
58, _minimax, _white_, _0.17474499999999996
58, _minimax_avl, _black_, _0.274123
59, _minimax, _white_, _0.390243
59, _minimax_avl, _black_, _0.21896899999999986
60, _minimax, _white_, _0.41491500000000003
60, _minimax_avl, _black_, _0.19143299999999988
61, _minimax, _white_, _0.38917599999999997
61, _minimax_avl, _black_, _0.171976
62, _minimax, _white_, _0.3285729999999999
62, _minimax_avl, _black_, _0.14736399999999997
63, _minimax, _white_, _0.26927800000000024
63, _minimax_avl, _black_, _0.3999090000000002
64, _minimax, _white_, _0.38045099999999976
64, _minimax_avl, _black_, _0.21351799999999993
65, _minimax, _white_, _0.2476809999999998
65, _minimax_avl, _black_, _0.3197410000000003
66, _minimax, _white_, _0.260555
66, _minimax_avl, _black_, _0.3160010000000002
67, _minimax, _white_, _0.49541700000000016
67, _minimax_avl, _black_, _0.3346110000000002
68, _minimax, _white_, _0.21356099999999986
68, _minimax_avl, _black_, _0.3310610000000002
69, _minimax, _white_, _0.3819550000000001
69, _minimax_avl, _black_, _0.43586300000000044
70, _minimax, _white_, _0.47770300000000016
70, _minimax_avl, _black_, _0.3760800000000003
71, _minimax, _white_, _0.367135
71, _minimax_avl, _black_, _0.28910700000000006
72, _minimax, _white_, _0.17356899999999992
72, _minimax_avl, _black_, _0.37652299999999994
73, _minimax, _white_, _0.2775700000000001
73, _minimax_avl, _black_, _0.16580999999999993
74, _minimax, _white_, _0.22239299999999984
74, _minimax_avl, _black_, _0.3181650000000002
75, _minimax, _white_, _0.2407869999999999
75, _minimax_avl, _black_, _0.29135600000000017
76, _minimax, _white_, _0.3053059999999999
76, _minimax_avl, _black_, _0.19478299999999993
77, _minimax, _white_, _0.286616
77, _minimax_avl, _black_, _0.0459
78, _minimax, _white_, _0.25104399999999993
78, _minimax_avl, _black_, _0.29382700000000017
79, _minimax, _white_, _0.35876899999999995
79, _minimax_avl, _black_, _0.26490699999999995
80, _minimax, _white_, _0.26736199999999993
80, _minimax_avl, _black_, _0.22741599999999984
81, _minimax, _white_, _0.3182079999999999
81, _minimax_avl, _black_, _0.3280630000000004
82, _minimax, _white_, _0.2812770000000001
82, _minimax_avl, _black_, _0.3360990000000001
83, _minimax, _white_, _0.21141700000000005
83, _minimax_avl, _black_, _0.157609
84, _minimax, _white_, _0.30321499999999996
84, _minimax_avl, _black_, _0.36799000000000004
85, _minimax, _white_, _0.035960999999999986
85, _minimax_avl, _black_, _0.10964900000000001
86, _minimax, _white_, _0.07778999999999997
86, _minimax_avl, _black_, _0.3072099999999999
87, _minimax, _white_, _0.271833
87, _minimax_avl, _black_, _0.24537199999999992
88, _minimax, _white_, _0.3152609999999999
88, _minimax_avl, _black_, _0.2553389999999999
89, _minimax, _white_, _0.2775469999999999
89, _minimax_avl, _black_, _0.26835399999999987
90, _minimax, _white_, _0.2253769999999999
90, _minimax_avl, _black_, _0.30212800000000006
91, _minimax, _white_, _0.057798
91, _minimax_avl, _black_, _0.06689999999999999
92, _minimax, _white_, _0.5240670000000005
92, _minimax_avl, _black_, _0.5209350000000008
93, _minimax, _white_, _0.28072400000000003
93, _minimax_avl, _black_, _0.37200100000000014
94, _minimax, _white_, _0.16195199999999996
94, _minimax_avl, _black_, _0.321863
95, _minimax, _white_, _0.14292799999999997
95, _minimax_avl, _black_, _0.204281
96, _minimax, _white_, _0.203629
96, _minimax_avl, _black_, _0.14263299999999998
97, _minimax, _white_, _0.269262
97, _minimax_avl, _black_, _0.32066700000000004
98, _minimax, _white_, _0.21741200000000002
98, _minimax_avl, _black_, _0.17354000000000003
99, _minimax, _white_, _0.25692000000000004
99, _minimax_avl, _black_, _0.09497599999999998
100, _minimax, _white_, _0.29228299999999996
100, _minimax_avl, _black_, _0.10571799999999998
101, _minimax, _white_, _0.2370310000000001
101, _minimax_avl, _black_, _0.19567299999999999
102, _minimax, _white_, _0.28510199999999986
102, _minimax_avl, _black_, _0.17492399999999997
103, _minimax, _white_, _0.22545499999999985
103, _minimax_avl, _black_, _0.23779599999999987
104, _minimax, _white_, _0.40181100000000003
104, _minimax_avl, _black_, _0.2347219999999999
105, _minimax, _white_, _0.3362260000000002
105, _minimax_avl, _black_, _0.3828780000000003
106, _minimax, _white_, _0.17244899999999996
106, _minimax_avl, _black_, _0.107776
107, _minimax, _white_, _0.28821
107, _minimax_avl, _black_, _0.39399300000000015
108, _minimax, _white_, _0.3611810000000001
108, _minimax_avl, _black_, _0.3079370000000002
109, _minimax, _white_, _0.4987950000000008
109, _minimax_avl, _black_, _0.8124690000000007
110, _minimax, _white_, _0.27816599999999986
110, _minimax_avl, _black_, _0.28829000000000005
111, _minimax, _white_, _0.4975650000000006
111, _minimax_avl, _black_, _0.47428000000000087
112, _minimax, _white_, _0.342536
112, _minimax_avl, _black_, _0.24068300000000006
113, _minimax, _white_, _0.40397900000000014
113, _minimax_avl, _black_, _0.27318700000000007
114, _minimax, _white_, _0.3718710000000002
114, _minimax_avl, _black_, _0.27100900000000006
115, _minimax, _white_, _0.30477299999999996
115, _minimax_avl, _black_, _0.3206190000000001
116, _minimax, _white_, _0.287184
116, _minimax_avl, _black_, _0.2184629999999999
117, _minimax, _white_, _0.3361840000000003
117, _minimax_avl, _black_, _0.4766420000000004
118, _minimax, _white_, _0.3749089999999999
118, _minimax_avl, _black_, _0.2933480000000001
119, _minimax, _white_, _0.3811829999999999
119, _minimax_avl, _black_, _0.30417600000000017
120, _minimax, _white_, _0.21659699999999987
120, _minimax_avl, _black_, _0.266173
121, _minimax, _white_, _0.3394220000000001
121, _minimax_avl, _black_, _0.2599019999999999
122, _minimax, _white_, _0.4288540000000001
122, _minimax_avl, _black_, _0.16378799999999988
123, _minimax, _white_, _0.12167099999999999
123, _minimax_avl, _black_, _0.143812
124, _minimax, _white_, _0.16411
124, _minimax_avl, _black_, _0.152226
125, _minimax, _white_, _0.47447000000000017
125, _minimax_avl, _black_, _0.3375909999999999
126, _minimax, _white_, _0.46508800000000017
126, _minimax_avl, _black_, _0.22581899999999985
127, _minimax, _white_, _0.5046020000000004
127, _minimax_avl, _black_, _0.26727699999999993
128, _minimax, _white_, _0.2399249999999999
128, _minimax_avl, _black_, _0.2783369999999999
129, _minimax, _white_, _0.7175120000000007
129, _minimax_avl, _black_, _0.3691880000000002
130, _minimax, _white_, _0.05853399999999999
130, _minimax_avl, _black_, _0.249243
131, _minimax, _white_, _0.32217000000000007
131, _minimax_avl, _black_, _0.3150179999999999
132, _minimax, _white_, _0.396608
132, _minimax_avl, _black_, _0.3548730000000003
133, _minimax, _white_, _0.2407979999999999
133, _minimax_avl, _black_, _0.5253319999999999
134, _minimax, _white_, _0.3489400000000001
