game_number, agent_type, agent_color, agent_decision_time
0, _minimax, _white_, _0.1919739999999999
0, _minimax_hash, _black_, _0.3441039999999999
1, _minimax, _white_, _0.3361340000000001
1, _minimax_hash, _black_, _0.3849120000000004
2, _minimax, _white_, _0.406932
2, _minimax_hash, _black_, _0.1896379999999999
3, _minimax, _white_, _0.2025569999999999
3, _minimax_hash, _black_, _0.5198729999999998
4, _minimax, _white_, _0.28315700000000005
4, _minimax_hash, _black_, _0.2623579999999999
5, _minimax, _white_, _0.3650750000000002
5, _minimax_hash, _black_, _0.19442999999999988
6, _minimax, _white_, _0.272387
6, _minimax_hash, _black_, _0.38844100000000015
7, _minimax, _white_, _0.1888289999999999
7, _minimax_hash, _black_, _0.256321
8, _minimax, _white_, _0.16511299999999995
8, _minimax_hash, _black_, _0.23279900000000006
9, _minimax, _white_, _0.2675520000000001
9, _minimax_hash, _black_, _0.4239109999999999
10, _minimax, _white_, _0.18562400000000004
10, _minimax_hash, _black_, _0.09863999999999998
11, _minimax, _white_, _0.18353999999999995
11, _minimax_hash, _black_, _0.3516989999999999
12, _minimax, _white_, _0.24407299999999982
12, _minimax_hash, _black_, _0.456927
13, _minimax, _white_, _0.6346590000000011
13, _minimax_hash, _black_, _0.418786000000001
14, _minimax, _white_, _0.3665070000000003
14, _minimax_hash, _black_, _0.36079000000000033
15, _minimax, _white_, _0.4211970000000003
15, _minimax_hash, _black_, _0.43443100000000073
16, _minimax, _white_, _0.21738699999999997
16, _minimax_hash, _black_, _0.270308
17, _minimax, _white_, _0.33376999999999996
17, _minimax_hash, _black_, _0.24641099999999985
18, _minimax, _white_, _0.26698800000000006
18, _minimax_hash, _black_, _0.24322199999999985
19, _minimax, _white_, _0.16787999999999992
19, _minimax_hash, _black_, _0.3186770000000001
20, _minimax, _white_, _0.15390899999999996
20, _minimax_hash, _black_, _0.25194400000000006
21, _minimax, _white_, _0.26426199999999994
21, _minimax_hash, _black_, _0.44983100000000004
22, _minimax, _white_, _0.2474049999999998
22, _minimax_hash, _black_, _0.29813700000000026
23, _minimax, _white_, _0.41676300000000016
23, _minimax_hash, _black_, _0.3808270000000005
24, _minimax, _white_, _0.060806999999999986
24, _minimax_hash, _black_, _0.08374699999999999
25, _minimax, _white_, _0.3652600000000004
25, _minimax_hash, _black_, _0.37428500000000015
26, _minimax, _white_, _0.363611
26, _minimax_hash, _black_, _0.1737589999999999
27, _minimax, _white_, _0.26976800000000023
27, _minimax_hash, _black_, _0.3824010000000001
28, _minimax, _white_, _0.4118770000000006
28, _minimax_hash, _black_, _0.42354100000000056
29, _minimax, _white_, _0.3328460000000005
29, _minimax_hash, _black_, _0.1979129999999999
30, _minimax, _white_, _0.5221470000000005
30, _minimax_hash, _black_, _0.3480410000000001
31, _minimax, _white_, _0.46377100000000004
31, _minimax_hash, _black_, _0.24433299999999986
32, _minimax, _white_, _0.143737
32, _minimax_hash, _black_, _0.17928000000000002
33, _minimax, _white_, _0.2298909999999999
33, _minimax_hash, _black_, _0.23300399999999988
34, _minimax, _white_, _0.19455499999999992
34, _minimax_hash, _black_, _0.2838600000000001
35, _minimax, _white_, _0.253988
35, _minimax_hash, _black_, _0.3188370000000001
36, _minimax, _white_, _0.25128599999999995
36, _minimax_hash, _black_, _0.4209420000000002
37, _minimax, _white_, _0.46682000000000023
37, _minimax_hash, _black_, _0.279236
38, _minimax, _white_, _0.23279599999999978
38, _minimax_hash, _black_, _0.35452600000000023
39, _minimax, _white_, _0.22273499999999985
39, _minimax_hash, _black_, _0.2793930000000002
40, _minimax, _white_, _0.46187599999999995
40, _minimax_hash, _black_, _0.3515760000000004
41, _minimax, _white_, _0.08878799999999999
41, _minimax_hash, _black_, _0.11569499999999999
42, _minimax, _white_, _0.20748099999999992
42, _minimax_hash, _black_, _0.14757200000000004
43, _minimax, _white_, _0.25329399999999985
43, _minimax_hash, _black_, _0.34450000000000014
44, _minimax, _white_, _0.32141400000000003
44, _minimax_hash, _black_, _0.21655499999999983
45, _minimax, _white_, _0.3689880000000004
45, _minimax_hash, _black_, _0.35668300000000025
46, _minimax, _white_, _0.3114289999999999
46, _minimax_hash, _black_, _0.3784740000000004
47, _minimax, _white_, _0.27819699999999997
47, _minimax_hash, _black_, _0.22651099999999985
48, _minimax, _white_, _0.3396130000000001
48, _minimax_hash, _black_, _0.31271300000000013
49, _minimax, _white_, _0.5552690000000008
49, _minimax_hash, _black_, _0.45692000000000077
50, _minimax, _white_, _0.13697399999999996
50, _minimax_hash, _black_, _0.220592
51, _minimax, _white_, _0.15030299999999996
51, _minimax_hash, _black_, _0.169007
52, _minimax, _white_, _0.35775100000000026
52, _minimax_hash, _black_, _0.38704400000000017
53, _minimax, _white_, _0.2185499999999999
53, _minimax_hash, _black_, _0.20154399999999995
54, _minimax, _white_, _0.24729099999999993
54, _minimax_hash, _black_, _0.2706550000000001
55, _minimax, _white_, _0.5051840000000004
55, _minimax_hash, _black_, _0.36992200000000025
56, _minimax, _white_, _0.35130000000000006
56, _minimax_hash, _black_, _0.3625760000000003
57, _minimax, _white_, _0.349313
57, _minimax_hash, _black_, _0.4410410000000005
58, _minimax, _white_, _0.5092420000000007
58, _minimax_hash, _black_, _0.49017500000000097
59, _minimax, _white_, _0.22640100000000005
59, _minimax_hash, _black_, _0.019931
60, _minimax, _white_, _0.3639770000000001
60, _minimax_hash, _black_, _0.31941100000000033
61, _minimax, _white_, _0.317164
61, _minimax_hash, _black_, _0.16851099999999994
62, _minimax, _white_, _0.30318999999999996
62, _minimax_hash, _black_, _0.2253969999999999
63, _minimax, _white_, _0.399832
63, _minimax_hash, _black_, _0.3351830000000004
64, _minimax, _white_, _0.29110100000000005
64, _minimax_hash, _black_, _0.2266299999999998
65, _minimax, _white_, _0.20876899999999995
65, _minimax_hash, _black_, _0.30233499999999996
66, _minimax, _white_, _0.200025
66, _minimax_hash, _black_, _0.17758399999999994
67, _minimax, _white_, _0.49451100000000053
67, _minimax_hash, _black_, _0.31575300000000034
68, _minimax, _white_, _0.28400800000000004
68, _minimax_hash, _black_, _0.4347250000000003
69, _minimax, _white_, _0.37794400000000017
69, _minimax_hash, _black_, _0.40395600000000065
70, _minimax, _white_, _0.3052179999999998
70, _minimax_hash, _black_, _0.2648329999999998
71, _minimax, _white_, _0.3283600000000002
71, _minimax_hash, _black_, _0.35783400000000004
72, _minimax, _white_, _0.28757299999999997
