game_number, agent_type, agent_color, agent_decision_time
0, minimax, white, 0.30719100000000005
0, minimax_rb, black, 0.2195419999999999
1, minimax, white, 0.5103370000000002
1, minimax_rb, black, 0.3790500000000001
2, minimax, white, 0.29150600000000004
2, minimax_rb, black, 0.22746500000000003
3, minimax, white, 0.32905700000000004
3, minimax_rb, black, 0.3415460000000001
4, minimax, white, 0.2662149999999999
4, minimax_rb, black, 0.5119119999999999
5, minimax, white, 0.19558599999999998
5, minimax_rb, black, 0.40687099999999987
6, minimax, white, 0.29942999999999986
6, minimax_rb, black, 0.35342999999999997
7, minimax, white, 0.19844700000000004
7, minimax_rb, black, 0.2734789999999999
8, minimax, white, 0.332683
8, minimax_rb, black, 0.2707409999999999
9, minimax, white, 0.20650099999999996
9, minimax_rb, black, 0.4386549999999999
10, minimax, white, 0.19128499999999998
10, minimax_rb, black, 0.45647299999999996
11, minimax, white, 0.278104
11, minimax_rb, black, 0.22653200000000012
12, minimax, white, 0.28285400000000005
12, minimax_rb, black, 0.24722300000000003
13, minimax, white, 0.24131299999999997
13, minimax_rb, black, 0.28413700000000003
14, minimax, white, 0.38516599999999995
14, minimax_rb, black, 0.2527500000000001
15, minimax, white, 0.2872819999999999
15, minimax_rb, black, 0.14782399999999998
16, minimax, white, 0.47410500000000017
16, minimax_rb, black, 0.49250300000000014
17, minimax, white, 0.2670510000000001
17, minimax_rb, black, 0.16141300000000006
18, minimax, white, 0.31476899999999997
18, minimax_rb, black, 0.268171
19, minimax, white, 0.38436199999999987
19, minimax_rb, black, 0.6527350000000002
20, minimax, white, 0.18285199999999996
20, minimax_rb, black, 0.24770899999999998
21, minimax, white, 0.459875
21, minimax_rb, black, 0.3611719999999998
22, minimax, white, 0.11301200000000002
22, minimax_rb, black, 0.184633
23, minimax, white, 0.31142299999999984
23, minimax_rb, black, 0.42541500000000015
24, minimax, white, 0.19512100000000004
24, minimax_rb, black, 0.27528100000000005
25, minimax, white, 0.23185199999999997
25, minimax_rb, black, 0.27735499999999996
26, minimax, white, 0.467102
26, minimax_rb, black, 0.33879500000000007
27, minimax, white, 0.42286199999999996
27, minimax_rb, black, 0.43825400000000003
28, minimax, white, 0.39101100000000016
28, minimax_rb, black, 0.5396420000000002
29, minimax, white, 0.4314279999999999
29, minimax_rb, black, 0.25701499999999994
30, minimax, white, 0.40958700000000003
30, minimax_rb, black, 0.306032
31, minimax, white, 0.2795750000000001
31, minimax_rb, black, 0.5125449999999998
32, minimax, white, 0.3981270000000001
32, minimax_rb, black, 0.33862200000000003
33, minimax, white, 0.185829
33, minimax_rb, black, 0.3569250000000002
34, minimax, white, 0.3713810000000001
34, minimax_rb, black, 0.421875
35, minimax, white, 0.297913
35, minimax_rb, black, 0.366299
36, minimax, white, 0.07651399999999998
36, minimax_rb, black, 0.10313599999999999
37, minimax, white, 0.054085
37, minimax_rb, black, 0.03648
38, minimax, white, 0.555162
38, minimax_rb, black, 0.18962800000000005
39, minimax, white, 0.18634899999999996
39, minimax_rb, black, 0.299905
40, minimax, white, 0.28059699999999993
40, minimax_rb, black, 0.30452599999999996
41, minimax, white, 0.15101900000000004
41, minimax_rb, black, 0.22595900000000002
42, minimax, white, 0.22775500000000004
42, minimax_rb, black, 0.2995
43, minimax, white, 0.26921799999999996
43, minimax_rb, black, 0.2975329999999999
44, minimax, white, 0.3016219999999999
44, minimax_rb, black, 0.14516
45, minimax, white, 0.06930199999999999
45, minimax_rb, black, 0.138908
46, minimax, white, 0.34955899999999984
46, minimax_rb, black, 0.2238170000000001
47, minimax, white, 0.325715
47, minimax_rb, black, 0.37327000000000005
48, minimax, white, 0.20101
48, minimax_rb, black, 0.236547
49, minimax, white, 0.376448
49, minimax_rb, black, 0.296398
50, minimax, white, 0.311504
50, minimax_rb, black, 0.3304969999999997
51, minimax, white, 0.3705789999999999
51, minimax_rb, black, 0.43296100000000015
52, minimax, white, 0.347264
52, minimax_rb, black, 0.3992209999999999
53, minimax, white, 0.27162300000000006
53, minimax_rb, black, 0.42293
54, minimax, white, 0.20671300000000004
54, minimax_rb, black, 0.2834620000000001
55, minimax, white, 0.23069299999999998
55, minimax_rb, black, 0.25840199999999997
56, minimax, white, 0.2510240000000001
56, minimax_rb, black, 0.45190099999999983
57, minimax, white, 0.24777399999999997
57, minimax_rb, black, 0.35352000000000006
58, minimax, white, 0.27963299999999996
58, minimax_rb, black, 0.28076900000000005
59, minimax, white, 0.22873799999999994
59, minimax_rb, black, 0.18429999999999996
60, minimax, white, 0.24346499999999993
60, minimax_rb, black, 0.4163270000000002
61, minimax, white, 0.17654599999999998
61, minimax_rb, black, 0.38243999999999995
62, minimax, white, 0.56292
62, minimax_rb, black, 0.33885599999999994
63, minimax, white, 0.24162399999999998
63, minimax_rb, black, 0.2765080000000001
64, minimax, white, 0.3586219999999999
64, minimax_rb, black, 0.493609
65, minimax, white, 0.29963700000000004
65, minimax_rb, black, 0.5102840000000001
66, minimax, white, 0.37100999999999995
66, minimax_rb, black, 0.3861979999999998
67, minimax, white, 0.206071
67, minimax_rb, black, 0.381413
68, minimax, white, 0.7224840000000001
68, minimax_rb, black, 0.4667030000000001
69, minimax, white, 0.296445
69, minimax_rb, black, 0.2651020000000001
70, minimax, white, 0.38756400000000013
70, minimax_rb, black, 0.23170200000000002
71, minimax, white, 0.083256
71, minimax_rb, black, 0.188459
72, minimax, white, 0.231861
