game_number, agent_type, agent_color, agent_decision_time
0, minimax, white, 0.082623
0, minimax_splay, black, 0.042790999999999996
1, minimax, white, 0.30479599999999996
1, minimax_splay, black, 0.21187199999999998
2, minimax, white, 0.06185599999999999
2, minimax_splay, black, 0.141874
3, minimax, white, 0.3479339999999999
3, minimax_splay, black, 0.26233699999999993
4, minimax, white, 0.33213499999999985
4, minimax_splay, black, 0.35995699999999986
5, minimax, white, 0.35979200000000006
5, minimax_splay, black, 0.326375
6, minimax, white, 0.44161399999999995
6, minimax_splay, black, 0.35069599999999995
7, minimax, white, 0.5357700000000001
7, minimax_splay, black, 0.539694
8, minimax, white, 0.2805499999999999
8, minimax_splay, black, 0.3959269999999998
9, minimax, white, 0.35907300000000003
9, minimax_splay, black, 0.270404
10, minimax, white, 0.378927
10, minimax_splay, black, 0.20105499999999993
11, minimax, white, 0.3238000000000001
11, minimax_splay, black, 0.2343500000000001
12, minimax, white, 0.22967600000000002
12, minimax_splay, black, 0.24881699999999998
13, minimax, white, 0.4126820000000001
13, minimax_splay, black, 0.4430629999999998
14, minimax, white, 0.3278950000000001
14, minimax_splay, black, 0.3963590000000001
15, minimax, white, 0.30903299999999995
15, minimax_splay, black, 0.29377600000000015
16, minimax, white, 0.45029499999999995
16, minimax_splay, black, 0.14807800000000004
17, minimax, white, 0.243394
17, minimax_splay, black, 0.22199799999999995
18, minimax, white, 0.33741200000000005
18, minimax_splay, black, 0.28307300000000013
19, minimax, white, 0.423337
19, minimax_splay, black, 0.23042099999999993
20, minimax, white, 0.3455309999999998
20, minimax_splay, black, 0.267438
21, minimax, white, 0.23299799999999996
21, minimax_splay, black, 0.20673199999999997
22, minimax, white, 0.2910909999999998
22, minimax_splay, black, 0.5866409999999999
23, minimax, white, 0.47538899999999995
23, minimax_splay, black, 0.24327299999999993
24, minimax, white, 0.27434900000000007
24, minimax_splay, black, 0.27015
25, minimax, white, 0.371711
25, minimax_splay, black, 0.4354199999999998
26, minimax, white, 0.30527800000000005
26, minimax_splay, black, 0.3240859999999998
27, minimax, white, 0.20030900000000001
27, minimax_splay, black, 0.279486
28, minimax, white, 0.273553
28, minimax_splay, black, 0.3220380000000001
29, minimax, white, 0.046324000000000004
29, minimax_splay, black, 0.039759
30, minimax, white, 0.2657540000000001
30, minimax_splay, black, 0.3866689999999999
31, minimax, white, 0.36490800000000007
31, minimax_splay, black, 0.463037
32, minimax, white, 0.33362800000000015
32, minimax_splay, black, 0.252793
33, minimax, white, 0.18862100000000004
33, minimax_splay, black, 0.20973600000000003
34, minimax, white, 0.241578
34, minimax_splay, black, 0.199907
35, minimax, white, 0.24070000000000003
35, minimax_splay, black, 0.24018300000000004
36, minimax, white, 0.5660870000000001
36, minimax_splay, black, 0.1922740000000001
37, minimax, white, 0.2536020000000001
37, minimax_splay, black, 0.37230600000000014
38, minimax, white, 0.26876099999999997
38, minimax_splay, black, 0.1917060000000001
39, minimax, white, 0.549763
39, minimax_splay, black, 0.36035500000000015
40, minimax, white, 0.20367300000000002
40, minimax_splay, black, 0.20508800000000002
41, minimax, white, 0.23629299999999995
41, minimax_splay, black, 0.192536
42, minimax, white, 0.3638879999999999
42, minimax_splay, black, 0.25632600000000005
43, minimax, white, 0.3260230000000002
43, minimax_splay, black, 0.43918299999999993
44, minimax, white, 0.13705099999999998
44, minimax_splay, black, 0.13492099999999999
45, minimax, white, 0.2771249999999998
45, minimax_splay, black, 0.2829310000000001
46, minimax, white, 0.39259900000000003
46, minimax_splay, black, 0.36311099999999996
47, minimax, white, 0.22471399999999994
47, minimax_splay, black, 0.513356
48, minimax, white, 0.4089610000000002
48, minimax_splay, black, 0.2892219999999999
49, minimax, white, 0.29014200000000007
49, minimax_splay, black, 0.261326
50, minimax, white, 0.2763630000000001
50, minimax_splay, black, 0.3052029999999998
51, minimax, white, 0.255543
51, minimax_splay, black, 0.3365270000000002
52, minimax, white, 0.20019699999999999
52, minimax_splay, black, 0.219606
53, minimax, white, 0.5063850000000001
53, minimax_splay, black, 0.5446340000000002
54, minimax, white, 0.37359199999999976
54, minimax_splay, black, 0.35856900000000014
55, minimax, white, 0.48916999999999994
55, minimax_splay, black, 0.20342499999999994
56, minimax, white, 0.34779000000000004
56, minimax_splay, black, 0.3658310000000002
57, minimax, white, 0.3342389999999998
57, minimax_splay, black, 0.4942889999999999
58, minimax, white, 0.099694
58, minimax_splay, black, 0.095315
59, minimax, white, 0.173003
59, minimax_splay, black, 0.218462
60, minimax, white, 0.20945
60, minimax_splay, black, 0.28036700000000003
61, minimax, white, 0.37043600000000015
61, minimax_splay, black, 0.4651710000000002
62, minimax, white, 0.30015500000000006
62, minimax_splay, black, 0.16695199999999996
63, minimax, white, 0.272511
63, minimax_splay, black, 0.31549200000000005
64, minimax, white, 0.41146799999999983
64, minimax_splay, black, 0.34560799999999997
65, minimax, white, 0.522491
65, minimax_splay, black, 0.2999899999999999
66, minimax, white, 0.31470000000000004
66, minimax_splay, black, 0.228295
67, minimax, white, 0.265916
67, minimax_splay, black, 0.22065700000000002
68, minimax, white, 0.27551300000000006
68, minimax_splay, black, 0.21317899999999998
69, minimax, white, 0.3947669999999998
69, minimax_splay, black, 0.3852520000000001
70, minimax, white, 0.365998
70, minimax_splay, black, 0.29401799999999995
71, minimax, white, 0.293312
71, minimax_splay, black, 0.35288400000000003
72, minimax, white, 0.35402400000000006
72, minimax_splay, black, 0.22360799999999995
73, minimax, white, 0.279842
73, minimax_splay, black, 0.294046
74, minimax, white, 0.33970599999999995
74, minimax_splay, black, 0.3329099999999998
75, minimax, white, 0.36174199999999995
75, minimax_splay, black, 0.23153099999999988
76, minimax, white, 0.229253
76, minimax_splay, black, 0.40176500000000004
77, minimax, white, 0.292911
77, minimax_splay, black, 0.219551
78, minimax, white, 0.4206379999999999
78, minimax_splay, black, 0.2818930000000001
79, minimax, white, 0.37772800000000006
79, minimax_splay, black, 0.3268709999999999
80, minimax, white, 0.248458
80, minimax_splay, black, 0.24225899999999995
81, minimax, white, 0.41153800000000007
81, minimax_splay, black, 0.2676899999999999
82, minimax, white, 0.10815599999999999
82, minimax_splay, black, 0.027172999999999996
83, minimax, white, 0.042465
83, minimax_splay, black, 0.030248
84, minimax, white, 0.202768
84, minimax_splay, black, 0.47223499999999996
85, minimax, white, 0.3095890000000001
85, minimax_splay, black, 0.309728
86, minimax, white, 0.27260799999999996
86, minimax_splay, black, 0.21377999999999997
87, minimax, white, 0.45974999999999977
87, minimax_splay, black, 0.43469700000000006
88, minimax, white, 0.23204999999999998
88, minimax_splay, black, 0.33165199999999995
89, minimax, white, 0.3563590000000002
89, minimax_splay, black, 0.22523599999999996
90, minimax, white, 0.41888000000000003
90, minimax_splay, black, 0.328447
91, minimax, white, 0.4196389999999999
91, minimax_splay, black, 0.414664
92, minimax, white, 0.5387900000000001
92, minimax_splay, black, 0.361778
93, minimax, white, 0.20842699999999997
93, minimax_splay, black, 0.3934579999999999
94, minimax, white, 0.3458899999999999
94, minimax_splay, black, 0.38069299999999995
95, minimax, white, 0.40139400000000036
95, minimax_splay, black, 0.3800039999999999
96, minimax, white, 0.26919699999999996
96, minimax_splay, black, 0.3527370000000002
97, minimax, white, 0.3085029999999999
97, minimax_splay, black, 0.24753799999999998
98, minimax, white, 0.23719
98, minimax_splay, black, 0.29585300000000003
99, minimax, white, 0.4259719999999999
99, minimax_splay, black, 0.34566099999999994
