game_number, agent_type, agent_color, agent_decision_time
0, _minimax, _white_, _0.44251500000000016
0, _minimax_trie, _black_, _0.2856150000000002
1, _minimax, _white_, _0.25664899999999985
1, _minimax_trie, _black_, _0.2448099999999998
2, _minimax, _white_, _0.4587230000000001
2, _minimax_trie, _black_, _0.26622800000000013
3, _minimax, _white_, _0.4358280000000001
3, _minimax_trie, _black_, _0.2862670000000001
4, _minimax, _white_, _0.3511070000000003
4, _minimax_trie, _black_, _0.31921500000000014
5, _minimax, _white_, _0.39592300000000025
5, _minimax_trie, _black_, _0.5093760000000003
6, _minimax, _white_, _0.3065359999999999
6, _minimax_trie, _black_, _0.16279299999999997
7, _minimax, _white_, _0.3294840000000002
7, _minimax_trie, _black_, _0.43045100000000047
8, _minimax, _white_, _0.36007900000000037
8, _minimax_trie, _black_, _0.4537470000000002
9, _minimax, _white_, _0.4109739999999999
9, _minimax_trie, _black_, _0.33007000000000014
10, _minimax, _white_, _0.525898
10, _minimax_trie, _black_, _0.23455399999999987
11, _minimax, _white_, _0.25439599999999996
11, _minimax_trie, _black_, _0.381874
12, _minimax, _white_, _0.49390900000000026
12, _minimax_trie, _black_, _0.449050000000001
13, _minimax, _white_, _0.26706699999999994
13, _minimax_trie, _black_, _0.30846400000000007
14, _minimax, _white_, _0.25450299999999987
14, _minimax_trie, _black_, _0.3957700000000003
15, _minimax, _white_, _0.254652
15, _minimax_trie, _black_, _0.5305690000000001
16, _minimax, _white_, _0.08799399999999999
16, _minimax_trie, _black_, _0.109845
17, _minimax, _white_, _0.24997400000000009
17, _minimax_trie, _black_, _0.18205499999999994
18, _minimax, _white_, _0.305113
18, _minimax_trie, _black_, _0.167626
19, _minimax, _white_, _0.34022400000000036
19, _minimax_trie, _black_, _0.603984
20, _minimax, _white_, _0.3611050000000001
20, _minimax_trie, _black_, _0.423149
21, _minimax, _white_, _0.20396799999999984
21, _minimax_trie, _black_, _0.26231799999999994
22, _minimax, _white_, _0.3071750000000001
22, _minimax_trie, _black_, _0.4936610000000003
23, _minimax, _white_, _0.3839180000000002
23, _minimax_trie, _black_, _0.21348399999999992
24, _minimax, _white_, _0.43028500000000014
24, _minimax_trie, _black_, _0.47222300000000017
25, _minimax, _white_, _0.3315040000000003
25, _minimax_trie, _black_, _0.3686609999999999
26, _minimax, _white_, _0.44770800000000005
26, _minimax_trie, _black_, _0.263419
27, _minimax, _white_, _0.5269980000000005
27, _minimax_trie, _black_, _0.4265880000000009
28, _minimax, _white_, _0.22864699999999996
28, _minimax_trie, _black_, _0.19370400000000002
29, _minimax, _white_, _0.32652099999999995
29, _minimax_trie, _black_, _0.26606700000000005
30, _minimax, _white_, _0.23699099999999984
30, _minimax_trie, _black_, _0.41142300000000026
31, _minimax, _white_, _0.227397
31, _minimax_trie, _black_, _0.263263
32, _minimax, _white_, _0.3514170000000001
32, _minimax_trie, _black_, _0.24586299999999991
33, _minimax, _white_, _0.23105700000000007
33, _minimax_trie, _black_, _0.208977
34, _minimax, _white_, _0.332395
34, _minimax_trie, _black_, _0.45923600000000037
35, _minimax, _white_, _0.39296500000000006
35, _minimax_trie, _black_, _0.3301060000000003
36, _minimax, _white_, _0.25928199999999985
36, _minimax_trie, _black_, _0.1935329999999999
37, _minimax, _white_, _0.30131400000000025
37, _minimax_trie, _black_, _0.26541200000000015
38, _minimax, _white_, _0.27098099999999997
38, _minimax_trie, _black_, _0.28597100000000003
39, _minimax, _white_, _0.49624900000000016
39, _minimax_trie, _black_, _0.4378430000000003
40, _minimax, _white_, _0.169048
40, _minimax_trie, _black_, _0.427802
41, _minimax, _white_, _0.3810190000000003
41, _minimax_trie, _black_, _0.416110000000001
42, _minimax, _white_, _0.3521160000000006
42, _minimax_trie, _black_, _0.2532859999999998
43, _minimax, _white_, _0.2772910000000001
43, _minimax_trie, _black_, _0.3061759999999998
44, _minimax, _white_, _0.365555
44, _minimax_trie, _black_, _0.4919270000000002
45, _minimax, _white_, _0.5026990000000003
45, _minimax_trie, _black_, _0.44085300000000044
46, _minimax, _white_, _0.5905960000000009
46, _minimax_trie, _black_, _0.49945800000000096
47, _minimax, _white_, _0.166567
47, _minimax_trie, _black_, _0.42196900000000015
48, _minimax, _white_, _0.4302830000000007
48, _minimax_trie, _black_, _0.5816889999999999
49, _minimax, _white_, _0.4611320000000002
49, _minimax_trie, _black_, _0.26229199999999997
