game_number, agent_type, agent_color, agent_decision_time
0, _random, _white_, _0.17450799999999975
0, _random_avl, _black_, _0.2095399999999997
1, _random, _white_, _0.0977519999999999
1, _random_avl, _black_, _0.09595699999999992
2, _random, _white_, _0.09172699999999995
2, _random_avl, _black_, _0.08678999999999992
3, _random, _white_, _0.17148099999999972
3, _random_avl, _black_, _0.1556459999999998
4, _random, _white_, _0.007977999999999999
4, _random_avl, _black_, _0.008976000000000001
5, _random, _white_, _0.1235089999999999
5, _random_avl, _black_, _0.13771299999999984
6, _random, _white_, _0.10368599999999988
6, _random_avl, _black_, _0.10769499999999987
7, _random, _white_, _0.06277499999999996
7, _random_avl, _black_, _0.07835499999999992
8, _random, _white_, _0.041840999999999996
8, _random_avl, _black_, _0.047426999999999976
9, _random, _white_, _0.15563599999999983
9, _random_avl, _black_, _0.1730669999999998
10, _random, _white_, _0.07780699999999996
10, _random_avl, _black_, _0.07904399999999996
11, _random, _white_, _0.0946769999999999
11, _random_avl, _black_, _0.1107989999999999
12, _random, _white_, _0.1028179999999999
12, _random_avl, _black_, _0.10462599999999991
13, _random, _white_, _0.09182799999999992
13, _random_avl, _black_, _0.1046619999999999
14, _random, _white_, _0.23646099999999975
14, _random_avl, _black_, _0.25881799999999977
15, _random, _white_, _0.07382899999999995
15, _random_avl, _black_, _0.08671399999999994
16, _random, _white_, _0.17744799999999977
16, _random_avl, _black_, _0.18376799999999974
17, _random, _white_, _0.1615069999999998
17, _random_avl, _black_, _0.16555399999999978
18, _random, _white_, _0.10374999999999988
18, _random_avl, _black_, _0.11968199999999986
19, _random, _white_, _0.14655199999999982
19, _random_avl, _black_, _0.1655309999999998
20, _random, _white_, _0.0997109999999999
20, _random_avl, _black_, _0.10666499999999988
21, _random, _white_, _0.012967
21, _random_avl, _black_, _0.018948000000000003
22, _random, _white_, _0.028926
22, _random_avl, _black_, _0.034932
23, _random, _white_, _0.009001
23, _random_avl, _black_, _0.013911999999999999
24, _random, _white_, _0.06084199999999996
24, _random_avl, _black_, _0.06981199999999994
25, _random, _white_, _0.0937179999999999
25, _random_avl, _black_, _0.11571999999999986
26, _random, _white_, _0.19855199999999976
26, _random_avl, _black_, _0.22513599999999964
27, _random, _white_, _0.10679999999999991
27, _random_avl, _black_, _0.12431899999999992
28, _random, _white_, _0.12062299999999987
28, _random_avl, _black_, _0.11538899999999987
29, _random, _white_, _0.00798
29, _random_avl, _black_, _0.014465999999999998
30, _random, _white_, _0.036897
30, _random_avl, _black_, _0.03790299999999999
31, _random, _white_, _0.011966999999999998
31, _random_avl, _black_, _0.018495
32, _random, _white_, _0.0926469999999999
32, _random_avl, _black_, _0.10237199999999991
33, _random, _white_, _0.012965
33, _random_avl, _black_, _0.028949000000000003
34, _random, _white_, _0.10257899999999988
34, _random_avl, _black_, _0.10432699999999989
35, _random, _white_, _0.010968000000000002
35, _random_avl, _black_, _0.012992
36, _random, _white_, _0.08682599999999992
36, _random_avl, _black_, _0.10073399999999988
37, _random, _white_, _0.15360099999999985
37, _random_avl, _black_, _0.18253699999999976
38, _random, _white_, _0.14153699999999986
38, _random_avl, _black_, _0.14267299999999986
39, _random, _white_, _0.09375399999999992
39, _random_avl, _black_, _0.11058499999999988
40, _random, _white_, _0.08477199999999996
40, _random_avl, _black_, _0.1026989999999999
41, _random, _white_, _0.021923
41, _random_avl, _black_, _0.03293000000000001
42, _random, _white_, _0.18639199999999978
42, _random_avl, _black_, _0.21649299999999969
43, _random, _white_, _0.18947099999999972
43, _random_avl, _black_, _0.1804189999999998
44, _random, _white_, _0.11915599999999989
44, _random_avl, _black_, _0.10881499999999986
45, _random, _white_, _0.1025519999999999
45, _random_avl, _black_, _0.09252299999999995
46, _random, _white_, _0.12359599999999986
46, _random_avl, _black_, _0.12276099999999983
47, _random, _white_, _0.06443199999999999
47, _random_avl, _black_, _0.08575499999999993
48, _random, _white_, _0.048761999999999986
48, _random_avl, _black_, _0.06482499999999995
