game_number, agent_type, agent_color, agent_decision_time
0, _random, _white_, _0.2143939999999997
0, _random_hash, _black_, _0.22651799999999966
1, _random, _white_, _0.05285699999999997
1, _random_hash, _black_, _0.057842999999999964
2, _random, _white_, _0.1117109999999999
2, _random_hash, _black_, _0.13367299999999985
3, _random, _white_, _0.18247599999999975
3, _random_hash, _black_, _0.18749299999999972
4, _random, _white_, _0.18459399999999973
4, _random_hash, _black_, _0.2033469999999997
5, _random, _white_, _0.07683599999999996
5, _random_hash, _black_, _0.08779199999999993
6, _random, _white_, _0.05088699999999998
6, _random_hash, _black_, _0.041887
7, _random, _white_, _0.08476799999999993
7, _random_hash, _black_, _0.12164399999999989
8, _random, _white_, _0.07083999999999994
8, _random_hash, _black_, _0.06878399999999994
9, _random, _white_, _0.0967829999999999
9, _random_hash, _black_, _0.09666799999999989
10, _random, _white_, _0.25230099999999966
10, _random_hash, _black_, _0.2842699999999999
11, _random, _white_, _0.06908099999999995
11, _random_hash, _black_, _0.08272999999999993
12, _random, _white_, _0.09188299999999991
12, _random_hash, _black_, _0.07934499999999994
13, _random, _white_, _0.07297899999999995
13, _random_hash, _black_, _0.08672599999999994
14, _random, _white_, _0.12729599999999988
14, _random_hash, _black_, _0.1518019999999998
15, _random, _white_, _0.08888299999999992
15, _random_hash, _black_, _0.09672899999999988
16, _random, _white_, _0.028520000000000007
16, _random_hash, _black_, _0.06086999999999999
17, _random, _white_, _0.04980799999999997
17, _random_hash, _black_, _0.037927999999999996
18, _random, _white_, _0.046842999999999996
18, _random_hash, _black_, _0.08179899999999993
19, _random, _white_, _0.02993800000000001
19, _random_hash, _black_, _0.018901
20, _random, _white_, _0.18550099999999975
20, _random_hash, _black_, _0.18302299999999974
21, _random, _white_, _0.08088599999999993
21, _random_hash, _black_, _0.08569099999999993
22, _random, _white_, _0.06984499999999996
22, _random_hash, _black_, _0.06679299999999995
23, _random, _white_, _0.18526999999999977
23, _random_hash, _black_, _0.1906829999999997
24, _random, _white_, _0.05884199999999996
24, _random_hash, _black_, _0.07128399999999994
25, _random, _white_, _0.17068499999999984
25, _random_hash, _black_, _0.19837399999999974
26, _random, _white_, _0.04288799999999999
26, _random_hash, _black_, _0.04288399999999999
27, _random, _white_, _0.2589549999999997
27, _random_hash, _black_, _0.29328900000000013
28, _random, _white_, _0.0887769999999999
28, _random_hash, _black_, _0.0993259999999999
29, _random, _white_, _0.018951000000000003
29, _random_hash, _black_, _0.017950999999999998
30, _random, _white_, _0.05222199999999999
30, _random_hash, _black_, _0.04805599999999999
31, _random, _white_, _0.08890699999999993
31, _random_hash, _black_, _0.0948839999999999
32, _random, _white_, _0.20523299999999975
32, _random_hash, _black_, _0.21385899999999966
33, _random, _white_, _0.18519299999999975
33, _random_hash, _black_, _0.18652899999999983
34, _random, _white_, _0.2325199999999997
34, _random_hash, _black_, _0.25519399999999975
35, _random, _white_, _0.06142599999999997
35, _random_hash, _black_, _0.05702399999999997
36, _random, _white_, _0.07139899999999996
36, _random_hash, _black_, _0.07646699999999994
37, _random, _white_, _0.18001299999999976
37, _random_hash, _black_, _0.17168599999999976
38, _random, _white_, _0.10279999999999989
38, _random_hash, _black_, _0.10816999999999989
39, _random, _white_, _0.11975199999999986
39, _random_hash, _black_, _0.11594299999999988
40, _random, _white_, _0.1646069999999998
40, _random_hash, _black_, _0.15437499999999976
41, _random, _white_, _0.1601039999999998
41, _random_hash, _black_, _0.1671359999999998
42, _random, _white_, _0.019948
42, _random_hash, _black_, _0.022938000000000004
43, _random, _white_, _0.0912879999999999
43, _random_hash, _black_, _0.0910049999999999
44, _random, _white_, _0.04987999999999998
44, _random_hash, _black_, _0.05678499999999997
45, _random, _white_, _0.08143199999999993
45, _random_hash, _black_, _0.09782999999999994
46, _random, _white_, _0.037898999999999995
46, _random_hash, _black_, _0.028923000000000008
47, _random, _white_, _0.06891299999999995
47, _random_hash, _black_, _0.07387899999999994
