game_number, agent_type, agent_color, agent_decision_time
0, _random, _white_, _0.06391499999999996
0, _random_rb, _black_, _0.06380199999999997
1, _random, _white_, _0.039886000000000005
1, _random_rb, _black_, _0.04885999999999997
2, _random, _white_, _0.08685999999999994
2, _random_rb, _black_, _0.09363399999999993
3, _random, _white_, _0.011973
3, _random_rb, _black_, _0.008971
4, _random, _white_, _0.09674299999999991
4, _random_rb, _black_, _0.0977629999999999
5, _random, _white_, _0.005011
5, _random_rb, _black_, _0.005959
6, _random, _white_, _0.19440199999999971
6, _random_rb, _black_, _0.1676589999999998
7, _random, _white_, _0.0049640000000000005
7, _random_rb, _black_, _0.010020999999999999
8, _random, _white_, _0.09511799999999992
8, _random_rb, _black_, _0.11957799999999988
9, _random, _white_, _0.1645239999999998
9, _random_rb, _black_, _0.1704019999999998
10, _random, _white_, _0.12123299999999987
10, _random_rb, _black_, _0.11182899999999986
11, _random, _white_, _0.041023
11, _random_rb, _black_, _0.04690199999999999
12, _random, _white_, _0.012965000000000003
12, _random_rb, _black_, _0.015927999999999998
13, _random, _white_, _0.13337799999999989
13, _random_rb, _black_, _0.15566799999999983
14, _random, _white_, _0.16556999999999983
14, _random_rb, _black_, _0.18453299999999975
15, _random, _white_, _0.07280199999999994
15, _random_rb, _black_, _0.06782099999999995
16, _random, _white_, _0.054854999999999966
16, _random_rb, _black_, _0.04687299999999998
17, _random, _white_, _0.035901
17, _random_rb, _black_, _0.037902
18, _random, _white_, _0.18175499999999978
18, _random_rb, _black_, _0.17853599999999983
19, _random, _white_, _0.3576690000000004
19, _random_rb, _black_, _0.3430280000000001
20, _random, _white_, _0.06208299999999997
20, _random_rb, _black_, _0.05679099999999998
21, _random, _white_, _0.030326000000000002
21, _random_rb, _black_, _0.038947999999999997
22, _random, _white_, _0.034881000000000016
22, _random_rb, _black_, _0.04288499999999999
23, _random, _white_, _0.13557699999999986
23, _random_rb, _black_, _0.15500999999999984
24, _random, _white_, _0.030962000000000003
24, _random_rb, _black_, _0.04279
25, _random, _white_, _0.17762899999999976
25, _random_rb, _black_, _0.18751399999999974
26, _random, _white_, _0.22349599999999975
26, _random_rb, _black_, _0.2113509999999997
27, _random, _white_, _0.13631099999999988
27, _random_rb, _black_, _0.12562499999999988
28, _random, _white_, _0.07475399999999995
28, _random_rb, _black_, _0.07643099999999993
29, _random, _white_, _0.06285699999999998
29, _random_rb, _black_, _0.06881799999999995
30, _random, _white_, _0.06283399999999996
30, _random_rb, _black_, _0.06676699999999995
31, _random, _white_, _0.23321399999999967
31, _random_rb, _black_, _0.24639199999999964
32, _random, _white_, _0.07975899999999993
32, _random_rb, _black_, _0.08076899999999994
33, _random, _white_, _0.09277299999999994
33, _random_rb, _black_, _0.08772199999999995
34, _random, _white_, _0.06331699999999997
34, _random_rb, _black_, _0.08525899999999995
35, _random, _white_, _0.016034000000000003
35, _random_rb, _black_, _0.018024000000000002
36, _random, _white_, _0.14052699999999985
36, _random_rb, _black_, _0.1611099999999998
37, _random, _white_, _0.017953
37, _random_rb, _black_, _0.04188799999999999
38, _random, _white_, _0.24146899999999968
38, _random_rb, _black_, _0.2346819999999997
39, _random, _white_, _0.07282599999999996
39, _random_rb, _black_, _0.09072899999999995
40, _random, _white_, _0.09371799999999991
40, _random_rb, _black_, _0.09076899999999995
