game_number, agent_type, agent_color, agent_decision_time
0, _random, _white_, _0.23433199999999965
0, _random_splay, _black_, _0.23736199999999966
1, _random, _white_, _0.029932000000000004
1, _random_splay, _black_, _0.06679699999999995
2, _random, _white_, _0.05677099999999998
2, _random_splay, _black_, _0.05692799999999998
3, _random, _white_, _0.13562099999999985
3, _random_splay, _black_, _0.13867999999999983
4, _random, _white_, _0.01395
4, _random_splay, _black_, _0.014974000000000001
5, _random, _white_, _0.06797699999999997
5, _random_splay, _black_, _0.06680599999999996
6, _random, _white_, _0.09195599999999995
6, _random_splay, _black_, _0.1139449999999999
7, _random, _white_, _0.1108939999999999
7, _random_splay, _black_, _0.13201399999999988
8, _random, _white_, _0.10762399999999993
8, _random_splay, _black_, _0.10882299999999993
9, _random, _white_, _0.09414699999999991
9, _random_splay, _black_, _0.08081899999999993
10, _random, _white_, _0.1269159999999999
10, _random_splay, _black_, _0.11671099999999988
11, _random, _white_, _0.09364299999999993
11, _random_splay, _black_, _0.08663599999999992
12, _random, _white_, _0.12700899999999987
12, _random_splay, _black_, _0.15205099999999983
13, _random, _white_, _0.3028260000000002
13, _random_splay, _black_, _0.31290300000000004
14, _random, _white_, _0.08570899999999994
14, _random_splay, _black_, _0.10959999999999992
15, _random, _white_, _0.05483599999999998
15, _random_splay, _black_, _0.07279599999999993
16, _random, _white_, _0.0927259999999999
16, _random_splay, _black_, _0.1007759999999999
17, _random, _white_, _0.18555599999999975
17, _random_splay, _black_, _0.17445099999999977
18, _random, _white_, _0.06687899999999997
18, _random_splay, _black_, _0.081775
19, _random, _white_, _0.09475999999999991
19, _random_splay, _black_, _0.08370999999999992
20, _random, _white_, _0.15454599999999985
20, _random_splay, _black_, _0.16061799999999982
21, _random, _white_, _0.09577299999999994
21, _random_splay, _black_, _0.08510999999999994
22, _random, _white_, _0.18739799999999976
22, _random_splay, _black_, _0.1964219999999998
23, _random, _white_, _0.12102299999999988
23, _random_splay, _black_, _0.12094499999999987
24, _random, _white_, _0.20350799999999977
24, _random_splay, _black_, _0.2066519999999997
25, _random, _white_, _0.12895699999999988
25, _random_splay, _black_, _0.1425729999999999
26, _random, _white_, _0.11457399999999988
26, _random_splay, _black_, _0.1277549999999999
27, _random, _white_, _0.07374699999999994
27, _random_splay, _black_, _0.10474499999999991
28, _random, _white_, _0.06482499999999995
28, _random_splay, _black_, _0.06981599999999993
29, _random, _white_, _0.08375099999999991
29, _random_splay, _black_, _0.0987299999999999
30, _random, _white_, _0.1870669999999998
30, _random_splay, _black_, _0.19535899999999978
31, _random, _white_, _0.10578899999999991
31, _random_splay, _black_, _0.11668599999999993
32, _random, _white_, _0.07778899999999993
32, _random_splay, _black_, _0.09078999999999991
33, _random, _white_, _0.19552199999999972
33, _random_splay, _black_, _0.22833299999999968
34, _random, _white_, _0.11673799999999987
34, _random_splay, _black_, _0.12258699999999985
35, _random, _white_, _0.044882
35, _random_splay, _black_, _0.04490799999999999
36, _random, _white_, _0.09085999999999991
36, _random_splay, _black_, _0.12063899999999987
37, _random, _white_, _0.025936
37, _random_splay, _black_, _0.024935000000000006
38, _random, _white_, _0.1107399999999999
38, _random_splay, _black_, _0.11965199999999988
39, _random, _white_, _0.01096
39, _random_splay, _black_, _0.01597
40, _random, _white_, _0.12661899999999987
40, _random_splay, _black_, _0.12863499999999986
41, _random, _white_, _0.057867999999999954
41, _random_splay, _black_, _0.06579999999999996
42, _random, _white_, _0.041962
42, _random_splay, _black_, _0.06336699999999998
43, _random, _white_, _0.032139
43, _random_splay, _black_, _0.03789599999999999
44, _random, _white_, _0.11877399999999987
44, _random_splay, _black_, _0.12174399999999987
45, _random, _white_, _0.0986499999999999
45, _random_splay, _black_, _0.08689599999999995
46, _random, _white_, _0.1479829999999998
46, _random_splay, _black_, _0.1647499999999998
47, _random, _white_, _0.2830079999999998
47, _random_splay, _black_, _0.3019679999999999
48, _random, _white_, _0.2222899999999997
48, _random_splay, _black_, _0.23654399999999967
49, _random, _white_, _0.0956949999999999
49, _random_splay, _black_, _0.10177599999999988
50, _random, _white_, _0.010972
50, _random_splay, _black_, _0.012962999999999997
51, _random, _white_, _0.12172899999999985
51, _random_splay, _black_, _0.12559099999999987
52, _random, _white_, _0.08180099999999993
52, _random_splay, _black_, _0.07871499999999994
53, _random, _white_, _0.09764099999999988
53, _random_splay, _black_, _0.1028469999999999
54, _random, _white_, _0.12662599999999985
54, _random_splay, _black_, _0.11987099999999987
55, _random, _white_, _0.006983
55, _random_splay, _black_, _0.003992
56, _random, _white_, _0.11859999999999989
56, _random_splay, _black_, _0.1027879999999999
57, _random, _white_, _0.25997099999999973
57, _random_splay, _black_, _0.26623099999999983
58, _random, _white_, _0.08078299999999994
58, _random_splay, _black_, _0.10073199999999988
59, _random, _white_, _0.07834299999999994
59, _random_splay, _black_, _0.07379999999999994
60, _random, _white_, _0.06281300000000001
60, _random_splay, _black_, _0.066985
61, _random, _white_, _0.06977999999999994
61, _random_splay, _black_, _0.06533199999999995
62, _random, _white_, _0.018948
62, _random_splay, _black_, _0.013963
63, _random, _white_, _0.12203899999999988
63, _random_splay, _black_, _0.14016199999999987
64, _random, _white_, _0.17967899999999976
64, _random_splay, _black_, _0.18408299999999977
65, _random, _white_, _0.1069839999999999
65, _random_splay, _black_, _0.12704899999999988
66, _random, _white_, _0.20514399999999977
66, _random_splay, _black_, _0.22825399999999965
67, _random, _white_, _0.1280379999999999
67, _random_splay, _black_, _0.1547939999999998
68, _random, _white_, _0.1566239999999998
68, _random_splay, _black_, _0.1658029999999998
69, _random, _white_, _0.08393699999999996
69, _random_splay, _black_, _0.07489399999999996
70, _random, _white_, _0.1006649999999999
70, _random_splay, _black_, _0.09378799999999994
71, _random, _white_, _0.10033199999999992
71, _random_splay, _black_, _0.10125499999999994
72, _random, _white_, _0.05308399999999998
72, _random_splay, _black_, _0.052830999999999975
73, _random, _white_, _0.13405899999999984
73, _random_splay, _black_, _0.14432699999999984
74, _random, _white_, _0.18925499999999976
74, _random_splay, _black_, _0.20410399999999973
75, _random, _white_, _0.036014000000000004
75, _random_splay, _black_, _0.04594199999999999
76, _random, _white_, _0.046931999999999974
76, _random_splay, _black_, _0.044855999999999986
77, _random, _white_, _0.11918599999999985
77, _random_splay, _black_, _0.12160499999999985
78, _random, _white_, _0.07981199999999992
78, _random_splay, _black_, _0.09175899999999991
79, _random, _white_, _0.06790699999999995
79, _random_splay, _black_, _0.06473599999999997
80, _random, _white_, _0.05883099999999996
80, _random_splay, _black_, _0.06481399999999995
81, _random, _white_, _0.009972
81, _random_splay, _black_, _0.009974
82, _random, _white_, _0.24736999999999967
82, _random_splay, _black_, _0.2677749999999998
83, _random, _white_, _0.042246999999999986
83, _random_splay, _black_, _0.051850999999999994
84, _random, _white_, _0.06578999999999995
84, _random_splay, _black_, _0.07733499999999992
85, _random, _white_, _0.19846299999999975
85, _random_splay, _black_, _0.20040499999999975
86, _random, _white_, _0.1347489999999998
86, _random_splay, _black_, _0.15069199999999983
87, _random, _white_, _0.07776199999999991
87, _random_splay, _black_, _0.09591599999999995
88, _random, _white_, _0.11693599999999987
88, _random_splay, _black_, _0.11173699999999988
89, _random, _white_, _0.11366399999999985
89, _random_splay, _black_, _0.12570099999999987
90, _random, _white_, _0.04383299999999998
90, _random_splay, _black_, _0.06288199999999997
91, _random, _white_, _0.000998
91, _random_splay, _black_, _0.0059830000000000005
92, _random, _white_, _0.014962000000000001
92, _random_splay, _black_, _0.018947
93, _random, _white_, _0.09572099999999989
93, _random_splay, _black_, _0.11482999999999989
94, _random, _white_, _0.060838999999999956
94, _random_splay, _black_, _0.06282499999999995
95, _random, _white_, _0.06414199999999996
95, _random_splay, _black_, _0.060170999999999954
96, _random, _white_, _0.1887619999999998
96, _random_splay, _black_, _0.18988999999999978
97, _random, _white_, _0.08505799999999994
97, _random_splay, _black_, _0.09872799999999991
98, _random, _white_, _0.07479799999999993
98, _random_splay, _black_, _0.0967439999999999
99, _random, _white_, _0.10476499999999987
99, _random_splay, _black_, _0.1139799999999999
100, _random, _white_, _0.15533999999999978
100, _random_splay, _black_, _0.17366499999999976
101, _random, _white_, _0.009009
101, _random_splay, _black_, _0.007944
102, _random, _white_, _0.21749799999999966
102, _random_splay, _black_, _0.24034099999999967
103, _random, _white_, _0.13760799999999987
103, _random_splay, _black_, _0.1476949999999998
104, _random, _white_, _0.13461499999999987
104, _random_splay, _black_, _0.14755799999999983
105, _random, _white_, _0.09067899999999994
105, _random_splay, _black_, _0.10280099999999989
106, _random, _white_, _0.06685199999999994
106, _random_splay, _black_, _0.07479299999999993
107, _random, _white_, _0.17116099999999979
107, _random_splay, _black_, _0.17951099999999975
108, _random, _white_, _0.06720199999999997
108, _random_splay, _black_, _0.06793499999999997
109, _random, _white_, _0.07754899999999995
109, _random_splay, _black_, _0.0937909999999999
110, _random, _white_, _0.08822999999999993
110, _random_splay, _black_, _0.09080599999999996
111, _random, _white_, _0.11269499999999992
111, _random_splay, _black_, _0.1187719999999999
112, _random, _white_, _0.019926
112, _random_splay, _black_, _0.012956
113, _random, _white_, _0.12521099999999988
113, _random_splay, _black_, _0.1481819999999998
114, _random, _white_, _0.027926000000000006
114, _random_splay, _black_, _0.012962999999999997
115, _random, _white_, _0.016956
115, _random_splay, _black_, _0.020943
116, _random, _white_, _0.13990999999999984
116, _random_splay, _black_, _0.14946899999999982
117, _random, _white_, _0.01496
117, _random_splay, _black_, _0.032913000000000005
118, _random, _white_, _0.0986959999999999
118, _random_splay, _black_, _0.10274099999999989
119, _random, _white_, _0.0927779999999999
119, _random_splay, _black_, _0.12373499999999985
120, _random, _white_, _0.08801399999999994
120, _random_splay, _black_, _0.07989899999999994
121, _random, _white_, _0.18684499999999982
121, _random_splay, _black_, _0.19463299999999975
122, _random, _white_, _0.03898299999999999
122, _random_splay, _black_, _0.04986699999999998
123, _random, _white_, _0.0878079999999999
123, _random_splay, _black_, _0.09869999999999991
124, _random, _white_, _0.0977649999999999
124, _random_splay, _black_, _0.10469199999999988
125, _random, _white_, _0.11181899999999988
125, _random_splay, _black_, _0.12366499999999989
126, _random, _white_, _0.07975299999999992
126, _random_splay, _black_, _0.07779499999999993
127, _random, _white_, _0.28736799999999996
127, _random_splay, _black_, _0.3279140000000001
128, _random, _white_, _0.14672599999999983
128, _random_splay, _black_, _0.15402199999999985
129, _random, _white_, _0.12424399999999987
129, _random_splay, _black_, _0.14232999999999985
130, _random, _white_, _0.09891899999999992
130, _random_splay, _black_, _0.08406899999999995
131, _random, _white_, _0.10475599999999988
