game_number, agent_type, agent_color, agent_decision_time
0, _random, _white_, _0.09421099999999993
0, _random_trie, _black_, _0.10381399999999993
1, _random, _white_, _0.07075399999999997
1, _random_trie, _black_, _0.06293699999999999
2, _random, _white_, _0.07180799999999994
2, _random_trie, _black_, _0.1026959999999999
3, _random, _white_, _0.11769099999999987
3, _random_trie, _black_, _0.12263499999999986
4, _random, _white_, _0.09067599999999992
4, _random_trie, _black_, _0.09977599999999989
5, _random, _white_, _0.012964999999999999
5, _random_trie, _black_, _0.014959
6, _random, _white_, _0.08580699999999995
6, _random_trie, _black_, _0.09473799999999995
7, _random, _white_, _0.13253899999999982
7, _random_trie, _black_, _0.13770299999999983
8, _random, _white_, _0.036900999999999996
8, _random_trie, _black_, _0.024934000000000005
9, _random, _white_, _0.06874199999999998
9, _random_trie, _black_, _0.06980399999999996
10, _random, _white_, _0.1584469999999998
10, _random_trie, _black_, _0.15863799999999978
11, _random, _white_, _0.05285699999999997
11, _random_trie, _black_, _0.07078299999999996
12, _random, _white_, _0.041887999999999995
12, _random_trie, _black_, _0.04587599999999998
13, _random, _white_, _0.051372999999999974
13, _random_trie, _black_, _0.05589899999999996
14, _random, _white_, _0.07581799999999995
14, _random_trie, _black_, _0.06184699999999996
15, _random, _white_, _0.15526799999999982
15, _random_trie, _black_, _0.17664099999999983
16, _random, _white_, _0.028064999999999996
16, _random_trie, _black_, _0.033458
17, _random, _white_, _0.10533999999999989
17, _random_trie, _black_, _0.1276449999999999
18, _random, _white_, _0.08488999999999994
18, _random_trie, _black_, _0.07981499999999994
19, _random, _white_, _0.1695579999999998
19, _random_trie, _black_, _0.18979199999999977
20, _random, _white_, _0.09080799999999994
20, _random_trie, _black_, _0.1113019999999999
21, _random, _white_, _0.10388999999999989
21, _random_trie, _black_, _0.09972099999999989
22, _random, _white_, _0.1015009999999999
22, _random_trie, _black_, _0.11559999999999988
23, _random, _white_, _0.024936000000000007
23, _random_trie, _black_, _0.026926000000000005
24, _random, _white_, _0.10881299999999987
24, _random_trie, _black_, _0.11728199999999986
25, _random, _white_, _0.11386599999999988
25, _random_trie, _black_, _0.11721799999999993
26, _random, _white_, _0.05991299999999996
26, _random_trie, _black_, _0.05860399999999997
27, _random, _white_, _0.17135099999999986
27, _random_trie, _black_, _0.21667699999999981
28, _random, _white_, _0.07849299999999995
28, _random_trie, _black_, _0.08801499999999994
29, _random, _white_, _0.07136699999999993
29, _random_trie, _black_, _0.08627399999999992
30, _random, _white_, _0.07401499999999994
30, _random_trie, _black_, _0.0923489999999999
31, _random, _white_, _0.22782599999999975
31, _random_trie, _black_, _0.21378199999999975
32, _random, _white_, _0.11964599999999986
32, _random_trie, _black_, _0.12129899999999985
33, _random, _white_, _0.12461799999999984
33, _random_trie, _black_, _0.13966899999999982
34, _random, _white_, _0.034991
34, _random_trie, _black_, _0.06396899999999997
35, _random, _white_, _0.016025
35, _random_trie, _black_, _0.022927000000000003
36, _random, _white_, _0.06791599999999999
36, _random_trie, _black_, _0.07768399999999996
37, _random, _white_, _0.12993599999999986
37, _random_trie, _black_, _0.1505389999999998
38, _random, _white_, _0.1481479999999998
38, _random_trie, _black_, _0.2031629999999998
39, _random, _white_, _0.18154299999999976
39, _random_trie, _black_, _0.18345099999999975
40, _random, _white_, _0.09872799999999993
40, _random_trie, _black_, _0.1276959999999999
41, _random, _white_, _0.07788399999999995
41, _random_trie, _black_, _0.09169899999999993
42, _random, _white_, _0.0976499999999999
42, _random_trie, _black_, _0.1137619999999999
43, _random, _white_, _0.17165899999999978
43, _random_trie, _black_, _0.2142979999999998
44, _random, _white_, _0.07281299999999993
44, _random_trie, _black_, _0.05479399999999998
45, _random, _white_, _0.07678899999999997
45, _random_trie, _black_, _0.08278899999999995
46, _random, _white_, _0.14070999999999984
46, _random_trie, _black_, _0.1580379999999998
47, _random, _white_, _0.060445
47, _random_trie, _black_, _0.07096999999999996
48, _random, _white_, _0.016953000000000003
48, _random_trie, _black_, _0.019947999999999997
49, _random, _white_, _0.1032099999999999
49, _random_trie, _black_, _0.1045729999999999
50, _random, _white_, _0.12460999999999986
50, _random_trie, _black_, _0.13260799999999984
51, _random, _white_, _0.12957699999999986
51, _random_trie, _black_, _0.13269899999999987
52, _random, _white_, _0.09178599999999991
52, _random_trie, _black_, _0.08873099999999995
53, _random, _white_, _0.08679799999999993
53, _random_trie, _black_, _0.1455789999999999
54, _random, _white_, _0.1661579999999998
54, _random_trie, _black_, _0.18610599999999977
55, _random, _white_, _0.15465499999999985
55, _random_trie, _black_, _0.1641129999999998
56, _random, _white_, _0.11368199999999985
56, _random_trie, _black_, _0.12164699999999985
